,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
32,    Other,4490519,312050,518283,321479,1723393,1615310,124471,322903,187302,2179799,1676044,182013,285076,306089,2102624,1614716,40.06011389085106,22.55042237006902,26.885638550345764,1.5053011255867947,1.4358040556026916,1.5662710031619198
33,    Did not report,3636659,215876,291353,131939,1196011,1801484,172163,189347,22951,1472030,1780172,79147,204462,105270,1457942,1789843,34.82872205647963,20.709059637907508,21.056726820646997,1.3087260474898914,1.3185629664875587,1.2266973157034102
34,Hispanic origin and Race ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,    Hispanic or Latino (may be of any race),11088987,1141480,1534807,822093,3560098,4030505,434619,1013470,729627,4971712,3939560,388490,1370447,673744,4753091,3903216,49.56278134590411,30.460007494306886,33.854140355989635,1.8623739001461102,1.9394138866357895,1.9722335505354174
36,"    White alone, not Hispanic",84874598,3676310,7144657,4950113,52054977,17048541,2653038,4165762,2833239,58297151,16925403,1930942,3793450,3787952,58424983,16937267,23.25224360307426,14.204787856574313,14.001645133807214,0.8737276325147869,0.9044305990700982,0.8156909023595945
37,"    Black alone, not Hispanic",26018975,2149369,2916385,2296624,10714571,7942025,1170058,1562643,1000687,14425831,7859753,1539230,2954501,2110731,11559575,7854939,40.72798785193299,20.559184749214477,36.36010190686695,1.530397195660533,1.3090203082842216,2.1182228267368313
38,"    Asian alone, not Hispanic",3265783,156719,148112,128050,1970191,862712,133036,136433,66517,2070217,859579,45894,60643,63936,2235730,859579,18.013658356328214,13.963321480639216,7.084727645702525,0.6768822543440044,0.8890562350706253,0.4127334917481724
39,"    Two or more races + Other races, not Hispanic",4635815,439715,574969,281219,2180708,1159205,208990,283191,209304,2766500,1167829,232072,357834,254475,2632231,1159205,37.27490285076554,20.227446131558775,24.28748119576254,1.4006438766069058,1.2878982359428053,1.4149106953710062
40,Education ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,    Less than high school,9011893,949348,1072854,498701,2803278,3687715,496282,823494,239861,3813165,3639092,723907,1242936,393540,3070760,3580751,47.34821037162919,29.028378307702074,43.46015994426218,1.779159054842607,1.8482608714721058,2.531849417896812
42,    High school or GED,39139629,2833197,4318456,2683746,18210282,11093947,1486816,2447619,1520198,22828713,10856283,1318223,3438563,2227860,21266535,10888445,35.069209584562785,19.285670797224626,24.723374425652388,1.3177626205685276,1.2279346209686433,1.440304435793894
43,    Some college/associate’s degree,42734112,2620836,4847592,3331531,21861663,10072495,1419321,2658236,1914202,26722771,10019580,1523861,2641525,3016969,25500105,10051656,33.06621040838241,18.315282639531567,21.976178901610087,1.242497809223537,1.1661492038505223,1.2802616426399878
44,    Bachelor’s degree or higher,38998523,1160212,2080029,1964122,27605323,6188834,1197324,1232152,1165114,29166759,6237171,570636,1213851,1252466,29768207,6193358,15.862274707937646,10.972044132977175,9.257545267643067,0.5960417396037067,0.6985991306881286,0.5393148719907087
45,Marital status ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,    Married,71836003,3123502,5668613,4368145,44567709,14108037,2496876,2977144,2004209,50454975,13902803,1824312,3794905,3069834,49236494,13910458,22.7970270076725,12.90836515158838,15.000378503128456,0.8566223877491062,0.8218862924913953,0.8738739026751272
47,    Widowed,6571367,382434,529504,491718,3721554,1446162,360419,477790,274285,4127321,1331551,192096,556686,330937,4139587,1352063,27.387314263527017,21.2315470619579,20.687030301358188,1.0291072836191246,1.3518301732006657,1.2051599831588384
48,    Divorced/separated,18778446,1550325,2762018,1627896,8036565,4801641,771317,1741710,894466,10564511,4806440,869923,1687599,1563223,9862275,4795429,42.50069311262481,24.3880012648148,29.469641637423454,1.5970084696954392,1.5528042246579654,1.7168067287609914
49,    Never married,31308342,2407158,3319150,1944915,13754044,9883068,941265,1922774,1661585,16881028,9901683,1182532,2492850,1902449,15883901,9846609,35.80455027086234,21.1411972321323,25.989657964713288,1.3453938241590218,1.3460775247598633,1.5140740502033994
50,    Did not report,1390000,100171,39652,45426,400671,804082,29862,42084,4833,503572,809650,67765,4833,24397,483355,809650,31.616881543151088,13.229775135693977,16.713190316188506,1.1880377450778783,0.8423507321864377,0.9736568210404658
51,Household size ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,    1 person in the household,11654753,752328,1340970,672590,6592118,2296747,593097,894660,490781,7394437,2281775,328875,743415,627012,7684731,2270717,29.556381989923924,21.108958113419234,18.108434366620077,1.1106122962837275,1.3440248333894917,1.05493926089894
53,    2 people in the household,44439366,1883271,3365660,2522690,29166900,7500842,1702178,2342409,1522180,31404453,7468140,1068116,1687909,1848824,32332947,7501575,21.039338225858728,15.057025698850236,12.466498064272441,0.7905753737814346,0.958693287821418,0.7262581616754278
54,    3 people in the household,25902302,1916491,2608705,1547984,13479743,6349376,694522,1453240,1000929,16386322,6367292,847066,2010568,1267404,15411111,6366156,31.060210630368058,16.118194974049153,21.114901577824,1.167120247092804,1.0262588138238877,1.2300863903244834
55,    4 people in the household,23122012,1431454,2605109,1896081,11321754,5867616,628001,1300314,889329,14470466,5833905,766032,1466615,1813664,13214664,5861036,34.38337685074575,16.298163818629767,23.44195948131786,1.29199173062568,1.037717579105107,1.3656533142826397
56,    5 people in the household,12459908,833113,1136838,910030,5158872,4421057,430660,521974,391901,6911100,4204274,512920,1356948,654908,5733703,4201429,35.82577908211012,16.286271896258967,30.571924927096138,1.346191519181887,1.0369604105657022,1.7810222150568171
57,    6 people in the household,6015570,266697,726682,608512,2482857,1930820,201799,276820,373439,3252372,1911135,215641,614928,410876,2862989,1911135,39.21637799130914,20.75944679352944,30.246428558376486,1.4735968572779492,1.3217711583876925,1.762059841408692
58,    7 or more people in the household,6290248,480240,534965,320212,2278301,2676526,349487,372087,170816,2712252,2685604,397977,656494,268151,2365465,2602160,36.9540601075567,24.756675000360644,35.86199678532616,1.3885878713792492,1.5762779865238856,2.089204821197002
59,Presence of children under 18 years old ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,    Children in household,50969496,3433436,5187657,3793076,23132590,15422738,1833022,2243998,1730190,29922165,15240122,1979829,4538932,3272843,25962226,15215665,34.92349147565019,16.253321426790183,27.386167373224986,1.3122871085926466,1.0348624269039821,1.5954302057620162
61,    No children,78914662,4130158,7131277,4685020,47347954,15620251,2766721,4917506,3109187,52609243,15512004,2156797,3997941,3617995,53643382,15498545,25.19409652141324,17.023598600550784,15.410487841757956,0.9466948085858276,1.0839066120582075,0.8977655563555282
62,Respondent or household member experienced loss of employment income in last 4 weeks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,    Yes,18112862,3244454,3084755,1842225,5073703,4867725,1355456,2336648,1255142,8396346,4769267,1657014,2620872,1880591,7199181,4755207,61.693842804343966,37.07581052932137,46.10447717058121,2.318211357765583,2.3606475412812267,2.6858988516489366
64,    No,107180024,4299772,9224614,6609590,65282203,21763848,3233350,4793350,3559988,74027463,21565873,2468828,5916005,4994214,72258962,21542019,23.571619502142077,13.533613152339734,15.62279153980759,0.8857285195232953,0.8616963501703071,0.9101336883415513
65,    Did not report,4591273,19371,9565,26280,124639,4411415,10941,31500,24246,107600,4416985,10786,0,16034,147467,4416985,30.699774266365687,38.26253098320022,15.38832277609474,1.1535764697108057,2.4362070147395816,0.8964742907764546
66,Respondent employed in the last 7 days ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,    Yes,71458457,3805235,7198204,5292345,41524904,13637769,2423636,3458226,2924682,48940447,13711466,1978218,4258149,4158132,47439645,13624312,28.183310444178733,15.250221435780093,17.972944875384602,1.0590176815266918,0.9709942202854245,1.047046078040073
68,    No,53527112,3669456,5051138,3163822,28767304,12875389,2154146,3624134,1900939,33342638,12505257,2134784,4235571,2711678,31898506,12546570,29.2347165703161,18.71982385974501,22.161817674348963,1.0985253781207567,1.1919066781500667,1.2910763616677317
69,    Did not report,4898594,88902,69592,21928,188335,4529832,21963,79143,13758,248325,4535402,23624,43153,21027,267463,4543325,48.92640781859302,31.626247274169035,24.714793578950033,1.8384614921693119,2.013669338629177,1.439804543208218
70,Household income ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,"    Less than $25,000",15996703,3271974,3091190,2032139,7414050,187348,1255020,2607642,1222716,10852422,58907,1929083,2806294,1944247,9249913,67169,53.10338720333625,31.907661511039542,41.932325201729064,1.9954159078891032,2.031587215996268,2.442842669912312
72,"    $25,000 - $34,999",11944758,1286413,2593825,1687170,6275478,101871,675832,1484015,988084,8729466,67363,677382,1993039,1357715,7899680,16945,47.01056423150875,26.50354728456871,33.77095197585677,1.766471644213717,1.687502790615136,1.9673872625308333
73,"    $35,000 - $49,999",11817669,1109755,1761024,1166868,7748194,31831,540970,968287,584480,9679806,44133,660412,1070809,890587,9170182,25683,34.25846342025064,17.783416978552577,22.233812014362975,1.2872979764332306,1.1322848770305052,1.295270520826145
74,"    $50,000 - $74,999",15777311,808344,1912930,1447520,11608518,0,581722,941332,742506,13503384,8369,424221,1148920,1216414,12987752,0,26.422715505829856,14.367228949158415,17.68080124680308,0.9928614656552178,0.9147733578752881,1.0300267279752089
75,"    $75,000 - $99,999",12036764,478663,1118202,705802,9729670,4427,430601,491210,351906,10760236,2813,127799,445625,777155,10683384,2798,19.137321369905113,10.584362525657616,11.223058133951849,0.7191050798638252,0.6739151218949803,0.653819342586648
76,"    $100,000 - $149,999",13948417,193377,751955,840604,12158010,4472,535093,249444,312496,12842576,8805,76060,341588,325821,13197206,7743,12.807967902914132,7.869896235275416,5.3330922163447765,0.4812729328045999,0.5010828066253294,0.310688834115191
77,"    $150,000 - $199,999",6062727,83442,282200,140710,5552007,4368,146121,57269,349404,5505417,4517,37448,63653,154676,5802579,4368,8.357906819321865,9.124708453487086,4.2218858274988325,0.3140571835854925,0.5809777390732227,0.24595351670331245
78,"    $200,000 and above",6603388,84411,132536,87571,6298870,0,144765,22642,100109,6321723,14149,25684,25791,22461,6529450,0,4.61154183276827,4.059892196959315,1.119667661509516,0.17328355906501872,0.2584966962499543,0.06522824399786915
79,    Did not report,35696423,247211,675076,369714,3695749,30708672,289627,339664,187677,4336381,30543070,178535,641162,201758,4085464,30589504,25.903478341240373,15.85313484249963,20.001394186984363,0.9733505803284153,1.009382215877655,1.1652170239223163
80,Used in the last 7 days to meet spending needs* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,    Regular income sources like those received before the pandemic,86679269,3751850,7497780,5962625,60076432,9390585,2785510,3783168,3250355,67623337,9236893,1904212,4690998,4478378,66330614,9275066,22.270084194990304,12.679147395994153,14.306184381227979,0.8368219545498502,0.8072918082862939,0.8334323813899954
82,    Credit cards or loans,33446218,2795396,5190037,3984352,17819590,3656848,1395840,3017907,2293374,23235669,3503432,1443788,3295466,3243676,21928742,3534550,40.181396921116495,22.39978938499577,26.688347838040993,1.5098584636530459,1.4262131287754063,1.554777479536008
83,    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),26803581,2544312,4835166,3174301,13294187,2955610,1375636,2307932,2367856,17825962,2926194,1184125,2526972,2526684,17612945,2952853,44.254410574383876,25.343744690321437,26.15341971951548,1.6629062571141122,1.6136571995574258,1.5236142843880283
84,    Borrowing from friends or family,14172758,3405640,3382899,1694881,3168796,2520544,1052520,2291344,1293915,7121062,2413910,2256921,3138009,1814286,4530551,2432993,72.80521967756513,39.4407598431411,61.408520528307,2.735733089222737,2.5112258213840475,3.5774632940352387
85,    Unemployment insurance (UI) benefit payments,1941018,263578,377407,336100,668279,295652,145020,126093,265721,1125243,278937,118978,329206,452322,764562,275950,59.3840519373805,32.29890721330669,54.0822356804647,2.231418524340707,2.0564981536644646,3.150657455052018
86,    Stimulus (economic impact) payment,10931924,1461563,1596336,1035788,5058874,1779362,645319,1284063,719042,6610015,1673482,839240,1646764,725430,6092006,1628486,44.72722501087674,28.605504036208252,34.51878757078835,1.6806727593608504,1.8213361166246425,2.010953763853846
87,    Child Tax Credit payment,8355370,1144453,1278444,1084715,3652036,1195721,552410,678895,389819,5543811,1190434,579917,1257871,956818,4383384,1177375,48.99139608659587,22.62579875102862,38.932961084536835,1.8409034950363325,1.4406033321617904,2.2681093439440465
88,    Money saved from deferred or forgiven payments (to meet spending needs),2699665,404926,478112,436695,1063041,316898,256147,331543,160709,1647069,304196,228115,462510,189694,1502451,316898,55.38657367673802,31.242274477357046,36.94524055436389,2.081209053103329,1.9892214728705508,2.15231112613458
89,    Supplemental Nutrition Assistance Program (SNAP),8039138,1558023,1594239,1117717,2360620,1408543,806630,1126069,635100,4099560,1371778,1137961,1659556,1113849,2735944,1391828,64.3981271665665,38.512979650116385,58.841335818549155,2.419827701280024,2.4521532886397903,3.427907353114406
90,    School meal debit/EBT cards,5776020,1171442,1151583,650319,1754616,1048062,481297,798542,413941,3144939,937302,987380,1069289,636838,2143388,939124,62.88854511820959,35.00472645853716,55.68668418754507,2.3631035600869,2.228779904412791,3.244127475040593
91,    Government rental assistance,938039,336977,176096,54705,211764,158501,167469,91132,27886,490656,160895,212850,137690,163159,263448,160895,72.83519212661858,36.86408181752674,66.10087705753374,2.7368593356787425,2.347166598969221,3.8508249236823358
92,    Other,6677723,892424,858016,492378,3522010,912896,475367,475670,335465,4479253,911970,737284,504433,361726,4162459,911821,38.905209124228705,22.31281846447463,27.80905745536431,1.461904358171732,1.42067561828649,1.6200664245350707
93,    Did not report,18600771,83845,126250,71399,749979,17569297,96824,113690,5570,894584,17490104,19447,59244,34490,1000330,17487259,27.29046006006938,19.455336297918276,10.164326922386108,1.0254678845430303,1.2387373638172712,0.5921410605658335
94,Active duty military* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,    Serving on active duty,1242782,28219,11923,188239,666513,347888,22007,38193,14188,820506,347888,0,162896,22144,709853,347888,25.520452701660755,8.312492876251266,20.677309267913294,0.958957987038273,0.5292633010604458,1.2045936669533672
96,    Serving in Reserve or National Guard,392121,1268,43574,37416,109000,200863,6369,3660,35975,145254,200863,0,17336,0,173921,200863,43.008919888318395,24.05337293080551,9.064196007487269,1.6161056280207833,1.5314981616847139,0.5280509647155385
97,    Spouse serving on active duty,947570,16917,83543,33880,635704,177528,11534,20627,16148,721736,177528,25163,40876,19699,684304,177528,17.445801657571923,6.273553910046465,11.134197874921108,0.6555444386268837,0.39944236960468377,0.6486426291233363
98,    Spouse serving in Reserve or National Guard,388863,33532,7524,16009,247923,83872,41885,13545,10033,239525,83872,4848,7970,11134,281036,83872,18.710388175388783,21.46391204986377,7.853346492191574,0.7030626137838032,1.3666250442917782,0.45751075859586937
99,    No active duty service (self or spouse),125680850,7407676,12141713,8209097,68614909,29307453,4468807,7043186,4763032,80391469,29014356,4097785,8299509,6828753,77480114,28974690,28.803058586800674,16.836262831669472,19.88089176532291,1.0823053730996854,1.0719787886097096,1.1581969396306342
100,    Did not report,1392168,77173,35101,25507,276571,977817,49143,45952,0,317023,980052,8832,8289,10296,382953,981800,33.25224266382849,23.074813887352104,6.681076497192763,1.2494881678700807,1.4691924975078,0.38921807149434645
101,Difficulty seeing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,    No difficulty,69348711,3332219,6419649,4470802,52010249,3115796,2462299,2899961,2292932,58869051,2824466,1583858,4263598,3654307,57099789,2747156,21.473718920569933,11.507371485388521,14.26657831037128,0.8068976875537697,0.7326838662666273,0.8311250588313045
103,    Some difficulty,29489998,3232150,5011745,3444347,16845467,956293,1588507,3446226,2078173,21435551,941543,1861464,3540923,2724115,20372740,990760,40.96293138237744,24.915204693213695,28.514804501088765,1.5392254471675297,1.5863717032710263,1.6611809820790717
104,    A lot of difficulty,3730121,828781,833595,553256,1362300,152184,354201,762005,458387,1996541,158982,553677,683361,488103,1855292,149687,61.92484663648353,44.09217899387282,48.18245497612859,2.3268915709442575,2.8073855283433717,2.806955168609689
105,    Cannot do at all,355795,135136,34486,7942,147468,30763,165683,21471,5788,132091,30763,115888,38514,10305,160326,30763,54.62969799896625,59.36092446282212,50.67408747446406,2.0527686494443844,3.7795591891516382,2.9521096802040794
106,    Did not report,26959533,35306,19462,1748,115059,26787958,29054,31837,4093,98175,26796373,21736,10478,14012,117463,26795844,32.939530817426785,39.82838931110566,28.240138311065493,1.2377376896848373,2.535906510421311,1.6451798114847107
107,Difficulty hearing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,    No difficulty,85893362,5770739,10042382,7008863,59679304,3392074,3619526,5444789,3786476,69923867,3118699,3224471,7028333,5820098,66749028,3071429,27.662579037553936,15.525029682090038,19.406576757874028,1.0394506484759016,0.9884914887662398,1.1305648697751776
109,    Some difficulty,13899305,1219526,1682391,1170786,9089511,737090,646579,1250231,910832,10391341,700323,525404,1092519,784126,10777756,719501,30.942383177907367,21.271655647382502,18.2252255041122,1.1626927560153357,1.3543839200295307,1.0617431376875706
110,    A lot of difficulty,2061223,309774,448853,179485,1061828,61283,167225,294044,129452,1410853,59652,256510,285510,148609,1313933,56665,46.90700721021631,29.512867642466844,34.45293176849959,1.7625803796721666,1.8791087083922167,2.00711721619954
111,    Cannot do at all,580075,232751,25036,64954,240599,16733,147832,42723,8526,364260,16733,103885,40653,62451,356352,16733,57.2904203840651,35.33927880399473,36.743044189852704,2.1527481056205686,2.250081129132065,2.1405318149575145
112,    Did not report,27450193,30802,120272,54009,409301,26835810,18576,129717,4093,441089,26856721,26359,89859,75552,408542,26849885,33.38031814031312,25.677032783349507,31.945268095710865,1.2543007392830743,1.6348779282781856,1.8610287798391179
113,Difficulty remembering or concentrating ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,    No difficulty,61859082,3238181,5260830,4301583,46423345,2635139,2379266,2879884,1833049,52185697,2581180,1704627,4070478,3194870,50377791,2511309,21.61388342549229,11.964321881702224,15.11425710952962,0.8121645169891979,0.761778276183636,0.8805081047511771
115,    Some difficulty,34326967,3031787,5552698,3300452,21211358,1230667,1631932,3235252,2140219,26322217,997350,1704423,3525305,2920450,25160895,1015889,35.910168206113674,21.024553027417024,24.466869550123835,1.349362529721097,1.338650691707945,1.4253612850869577
116,    A lot of difficulty,6234127,1051888,1451055,828389,2607547,295247,418615,917656,812200,3792906,292750,572496,898338,676987,3793556,292750,56.09360687537044,36.161162639569916,36.15022241477018,2.107776572921881,2.3024111531550044,2.1059959212082924
117,    Cannot do at all,397524,215515,17510,28283,108007,28209,149967,95006,48595,97746,6211,132122,22405,85991,128798,28209,70.75477573345246,75.02127452959651,65.12543492682398,2.658685490570494,4.776666638805307,3.7939987961670005
118,    Did not report,27066460,26219,36844,19387,130282,26853728,19967,33701,5314,132840,26874638,22957,20343,12539,144566,26866052,38.757685726641974,30.748297901179217,27.862660173246578,1.456361010565613,1.9577695754377895,1.6231891468223785
119,Difficulty walking or climbing stairs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
120,    No difficulty,77142111,4675703,7736538,5605846,55881645,3242380,2790393,4064404,3045581,63971714,3270021,2351878,5234811,4489561,61870898,3194965,24.381803230109185,13.402054822057966,16.33092100674176,0.9161720295183959,0.8533199224002624,0.9513870380980232
121,    Some difficulty,19454239,1801525,3528073,2034603,11555497,534543,1263388,2119446,1255847,14317914,497643,1013029,2336897,1690991,13871701,541620,38.92346367510345,24.470010333078786,26.653722575387363,1.4625902922170944,1.5580258099071143,1.5527603228755964
122,    A lot of difficulty,5575150,929275,1012789,702090,2522553,408445,375240,894940,502354,3686697,115915,602624,911755,562651,3382202,115915,51.176794494750524,32.468541837821604,38.04617313597968,1.9230221503305724,2.0672989306012384,2.2164479245145774
123,    Cannot do at all,734610,126092,37439,124515,442565,3997,155724,75222,31501,468164,3997,159958,42722,125786,402144,3997,39.42524975602679,35.92147963422496,44.95759040695964,1.4814454346282144,2.2871503378369686,2.619084910131167
124,    Did not report,2091167,0,0,0,0,2091167,0,0,0,0,2091167,0,0,0,0,2091167,,,,,,
125,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
126,** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
