,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
46,    Married,78921062,5458490,8081701,5029344,41962409,18389116,3568543,6494870,3139313,47338190,18380148,3360750,5484364,3669472,48005911,18400555,30.677247680092755,21.80793966870074,20.678257041039,0.8303026110868875,0.9257363024644488,0.7976804820304728
47,    Widowed,6786903,616608,871841,334838,3298878,1664735,341749,557987,257943,3920534,1708689,490375,431968,263303,3916147,1685110,35.59600153684924,22.79697153369275,23.23979040309946,0.9634323564000193,0.9677202182137797,0.8964937022612848
48,    Divorced/separated,21159930,2092761,3030290,1533830,9924423,4578622,1503025,2160735,1060614,11841522,4594029,1804806,2174397,1702557,10849153,4629018,40.146899146918926,28.51866614438901,34.370517488690275,1.0866057977671852,1.2106033375365455,1.3258704978665685
49,    Never married,58554612,4140676,6057512,4396051,26372137,17588239,2663376,4858684,2815839,30734992,17481721,3003642,4383561,2786292,30763206,17617912,35.62492339753875,25.169640481357884,24.851771149115585,0.9642151481516917,1.0684388469311983,0.9586771626928887
50,    Did not report,1854575,21460,110323,31833,354213,1336745,125480,64980,52317,291688,1320110,28346,54251,23713,439006,1309258,31.596469883938745,45.42430280748037,19.495082676681637,0.8551820462950744,1.9282392909117785,0.7520385744260949
51,Household size ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,    1 person in the household,10628470,814554,937188,563017,6291462,2022246,578653,856450,466951,6726947,1999470,491283,616545,443655,7045123,2031861,26.896336883632127,22.042577355429366,18.04761621704558,0.7279694376769067,0.9356965567493924,0.6962013855878901
53,    2 people in the household,38076123,1937919,3062283,2072416,23294162,7709350,1647381,2330174,1476623,24965935,7656015,1119077,1614105,1430051,26234973,7677921,23.29064731375968,17.929515569109746,13.695655420672578,0.6303787575789458,0.761099108860259,0.5283209796649493
54,    3 people in the household,32770698,1737265,4234806,2239253,16414385,8144993,1496627,2685751,1775753,18681724,8130842,1324537,2671798,1539980,19076422,8157962,33.34452353749872,24.1808677777987,22.493700009621033,0.9024944234680984,1.0264659324571006,0.867712662180052
55,    4 people in the household,35317437,2477844,4040304,2430184,16944214,9424892,1653976,3116431,1509401,19574281,9463349,1494797,2987421,2114970,19261661,9458585,34.55949193097859,24.28941991688123,25.512300391370818,0.9353784500931142,1.0310739173188295,0.9841576121965236
56,    5 people in the household,23060983,2233061,2305979,1663247,9301060,7557632,1173559,2496940,895104,10922579,7572799,1516185,2056893,1419333,10497231,7571340,40.006105776744654,29.477974951743857,32.23063953120159,1.0827951200917143,1.2513255241224168,1.2433229757408744
57,    6 people in the household,12262139,1058930,1689138,1210097,5057221,3246755,629821,1285976,721318,6412403,3212622,853511,1118333,793654,6247335,3249307,43.90456357710332,29.14094752239263,30.684006980269906,1.1883097909189264,1.237018875671601,1.183660374763301
58,    7 or more people in the household,15161225,2070423,1881965,1147692,4609560,5451588,1022157,1365535,480882,6843054,5449597,1888535,1463447,703693,5610678,5494874,52.52595951836304,29.537519353088893,41.95662872163446,1.4216543085200635,1.2538531546446492,1.6185108714252312
59,Presence of children under 18 years old ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,    Children in household,65865734,6176854,8167638,4655909,27302171,19563166,3081385,5877948,2413754,34967667,19524982,5067499,6325402,3901587,30905418,19665837,41.03530715618192,24.54230134202397,33.105026186530246,1.1106512237941182,1.041808609317706,1.2770531478399696
61,    No children,101411344,6153146,9984026,6669992,54609890,23994294,5120786,8259312,4912274,59159258,23959715,3620428,6203142,4543752,63068011,23976016,29.46013055263666,23.617801505504808,18.553962863048763,0.7973604273726309,1.0025640464066776,0.715734116797137
62,Respondent or household member experienced loss of employment income in last 4 weeks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,    Yes,35197718,6291990,6392648,3876450,10310546,8326088,3475503,5488925,2216812,15808984,8207494,4308997,4730355,3356891,14351723,8449753,61.630381186403646,41.42699964253724,46.34462098331593,1.6680722780276622,1.7585557395098612,1.7877812202509265
64,    No,125726315,6034865,11755628,7446805,71460218,29028801,4719567,8639708,5105828,78184294,29076920,4378924,7789061,5083050,79486548,28988733,26.09922112371989,19.10524426976496,17.83281599906022,0.706394904534446,0.8110082133690175,0.6879152935307714
65,    Did not report,6353043,3146,3386,2645,141296,6202571,7101,8626,3386,133649,6200283,0,9127,5396,135154,6203367,6.098809080759211,12.511783189316574,9.702958390122665,0.16506882094122344,0.5311190365928243,0.3742994639438804
66,Respondent employed in the last 7 days ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,    Yes,90439592,6047345,9858808,7422771,49801781,17308887,4084141,7613851,4456892,57035700,17249011,4211313,6528541,4747539,57578252,17373946,31.900313281541592,22.072353818314408,21.196545637877477,0.863405794690693,0.936960552939332,0.8176738836472776
68,    No,69787224,6162822,7998224,3897685,31875358,19853130,4096634,6348156,2845314,36649112,19848005,4462808,5784031,3688320,35982512,19869550,36.16513198377045,26.612558758678222,27.916282717820547,0.9788362968400339,1.1296900174267779,1.07689317386158
69,    Did not report,7050266,119830,294627,5445,234919,6395443,21396,175251,23822,442115,6387680,13799,215969,9479,412663,6398355,64.12450387356583,33.274020278122386,36.69933472513886,1.7355775705857572,1.412465779360406,1.4157065054200293
70,Household income ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,"    Less than $25,000",19850300,4139628,4689220,2015219,8867938,138293,1815560,3112712,1549671,13258803,113548,2884996,3383969,1551095,11855542,174696,55.01249568346845,32.821727708794235,39.74495522475448,1.4889542661948438,1.3932661824648351,1.533193778326721
72,"    $25,000 - $34,999",15645248,2445887,3676218,2027428,7407482,88236,1457190,2887182,1211382,10040639,48858,1694916,3313066,1627495,8958779,50995,52.384950271941676,35.622051000263525,42.55078457429157,1.4178377879927988,1.5121385275342079,1.6414309137676848
73,"    $35,000 - $49,999",13446934,1713627,2629556,1767307,7267442,69003,1232581,2091161,920088,9154983,48116,1350574,1692141,1363533,8988547,52140,45.67589711742421,31.67316699129729,32.89522780268215,1.2362522556071334,1.3445103454658196,1.268960005578268
74,"    $50,000 - $74,999",17863425,1233996,2729876,2190245,11656832,52471,942486,2386222,1053259,13459189,22268,1058368,1930534,1378101,13483457,12966,34.552427680179285,24.561002405841727,24.464373717224863,0.9351872508712935,1.0426024602698731,0.9437329935786997
75,"    $75,000 - $99,999",12283141,897006,1271325,1052613,9037568,24626,539366,1113176,882297,9688614,59684,390318,645571,944748,10270410,32093,26.27515649326203,20.737496765440415,16.167082195743582,0.7111567266586704,0.880296528220862,0.6236582654588684
76,"    $100,000 - $149,999",16032571,644197,1337877,1034996,12970243,45261,837557,1005493,807143,13328293,54087,394904,567620,600421,14435402,34224,18.871655081436465,16.58601028733389,9.769415552744293,0.510775433736709,0.7040679710825958,0.37686310271716716
77,"    $150,000 - $199,999",9528857,230605,367198,582809,8342119,6129,306590,317492,349330,8536928,18520,52237,191726,348397,8922853,13646,12.397833898017458,10.235305016005217,6.225400571779228,0.3355566302652838,0.4344836588901386,0.240149859781418
78,"    $200,000 and above",12346190,202691,331893,277364,11528205,6038,305263,275769,223353,11495989,45815,214255,112581,98097,11908075,13182,6.579724463685698,6.539516071664482,3.4454935892363,0.17808515481575263,0.2775992377114912,0.13291270060335894
79,    Did not report,50280411,822357,1118499,377923,4834231,43127401,765576,948052,329501,5163489,43073796,647354,691329,533453,5150362,43257912,32.41682871965788,28.350744420230576,26.659113799802608,0.8773856706367655,1.2034751430171433,1.0283968665312262
80,Used in the last 7 days to meet spending needs* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,    Regular income sources like those received before the pandemic,100289902,4992132,9750442,7583177,66351413,11612740,4197459,8115347,4765075,71719330,11492689,3780695,6027211,4711494,74189792,11580708,25.176438325800277,19.23245158606498,16.367412829835878,0.6814190991894339,0.8164081013193231,0.6313861816198421
82,    Credit cards or loans,48931576,5230795,7483864,5361210,25022911,5832799,3446486,5671020,3271303,30679269,5863495,3311096,4928305,3927233,30789370,5975571,41.94056132961731,28.76563968568741,28.323476543035138,1.1351526038311694,1.2210872427747954,1.0926010048519954
83,    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),37494307,4473596,5970309,4304644,17733020,5012738,2893456,4710171,2670309,22229015,4991356,2852992,3656786,3048644,22792651,5143235,45.40590080485336,31.609240650179732,29.545920456669876,1.2289446038370273,1.3417967037575576,1.139757767065953
84,    Borrowing from friends or family,20673567,4934848,4497257,2600296,5188438,3452726,2096216,4072304,1426988,9667134,3410927,3190288,4285118,1804908,7867382,3525872,69.8711578604088,43.99968950288021,54.11989191550235,1.891115051002715,1.867765157496277,2.0877185821279385
85,    Unemployment insurance (UI) benefit payments,10720869,1413414,2121804,1144218,4817631,1223798,1102119,1662101,742833,5996050,1217766,1120788,1609188,1038676,5700906,1251307,49.27241251539554,36.90429326084333,39.79753234626903,1.3335946298934551,1.566569080223073,1.5352219832934293
86,    Stimulus (economic impact) payment,24046272,3048326,4450652,3154079,10394579,2998641,2037913,3539369,1625789,13900278,2942931,2308342,2731012,2241224,13678071,3087627,50.61404297709324,34.13237268923437,34.737827755563394,1.3699068599565252,1.4489024166285611,1.3400397883513806
87,    Child Tax Credit payment,10492634,1388701,2573769,1153755,4245652,1130758,730502,1436193,695127,6503276,1127536,1468007,1711624,972584,5134252,1206169,54.64957023570916,30.55837749909291,44.71254670103209,1.479131418003024,1.297188080354244,1.7248226354138219
88,    Money saved from deferred or forgiven payments (to meet spending needs),4646072,800739,785744,657641,1833059,568890,495647,670298,407145,2502780,570202,626732,530374,425382,2494474,569108,55.041055317128354,38.5951956269459,38.81535377795831,1.4897272540015334,1.638347053200079,1.4973336510101427
89,    Supplemental Nutrition Assistance Program (SNAP),8768965,1915641,2076834,994461,2827290,954742,872299,1416415,319321,5211532,949395,1933829,1817380,696950,3363911,956900,63.81870596731114,33.35266517212583,56.93960559723965,1.7273009219543047,1.415804216392445,2.196491316907867
90,    School meal debit/EBT cards,12636194,2413757,2788556,1405169,4307118,1721592,1213346,2102033,943038,6661028,1716744,2389979,2327847,1417871,4777416,1723080,60.538002210250085,38.99845688198582,56.22315500415371,1.638506225503814,1.6554652949431818,2.168853656088119
91,    Government rental assistance,2158424,546093,346895,277268,770439,217727,231869,554761,63901,1084887,223000,717641,302927,270469,649657,217727,60.30080945144965,43.9454610462617,66.52439819302035,1.6320864264065598,1.8654631862105429,2.566232439807667
92,    Other,8716093,1358896,1279900,620006,4570025,887268,811562,789452,617871,5574232,922977,1040096,830690,620052,5338093,887167,41.62568456952352,28.472372283435792,31.815832720861074,1.1266302292425878,1.2086381859304474,1.2273214676947533
93,    Did not report,25818803,90430,155373,98190,773908,24700901,31692,89075,134445,832412,24731177,38626,106845,36360,918346,24718625,30.771301956701038,23.4650514055383,16.527416472607158,0.8328482603011234,0.9960798798649377,0.6375584514895474
94,Active duty military* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,    Serving on active duty,819265,94762,4912,3093,253155,463344,25034,2705,15427,312755,463344,94762,8563,2705,249892,463344,28.87354216244616,12.127972218554117,29.790318638124752,0.781483974664506,0.514826449841547,1.149185624491431
96,    Serving in Reserve or National Guard,380127,108238,16399,8875,92998,153615,57930,7810,11366,149406,153615,95686,48523,0,82302,153615,58.942572578936215,34.04058063148972,63.665059687786965,1.5953247314369612,1.4450058889683117,2.4559311454279618
97,    Spouse serving on active duty,606512,89262,58828,23583,292416,142426,29102,69719,0,365266,142426,118446,18624,0,327017,142426,36.991635171067436,21.293682636407908,29.535474028520575,1.0012062226443506,0.9039063446223347,1.1393547876550147
98,    Spouse serving in Reserve or National Guard,432829,110477,16947,53224,174007,78175,51902,36262,12303,256178,76185,116450,71516,15644,151045,78175,50.93640562350911,28.170108006863988,57.41088497521528,1.3786318456471307,1.1958072162005433,2.2146712999039453
99,    No active duty service (self or spouse),163586100,12164577,18007162,11235520,81013165,41165677,8062932,14007580,7298046,93126231,41091310,8520052,12365734,8402409,93075141,41222766,33.82381630881965,23.975352747655634,23.93543395932641,0.9154668401481346,1.017741920606565,0.9233287148134174
100,    Did not report,1798137,23975,62525,1608,129138,1580890,12356,49445,0,151849,1584484,3816,30695,24581,130846,1608195,40.55660147205715,28.925875133978927,31.110549536174197,1.097694697067346,1.2278891586677496,1.200114598681931
101,Difficulty seeing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,    No difficulty,87116088,5686557,10387615,6635910,60394907,4011097,4286519,6607995,4101298,68117651,4002629,3848368,6708212,4882018,67704003,3973489,27.32697726903069,18.042579601939078,18.56881813377039,0.7396250412096813,0.7658986213902467,0.71630717087449
103,    Some difficulty,36523688,4740348,6631817,3975763,19079611,2096151,2677224,6226718,2800755,22795051,2023941,3645526,4518163,2889586,23293129,2177280,44.58038342969466,33.926906768330795,32.18174954423181,1.2066013597742082,1.4401804894410644,1.2414370049699763
104,    A lot of difficulty,5591312,1841662,973990,636740,1815477,323448,1153046,1146885,400128,2566175,325078,1126405,1152765,599178,2349052,363915,65.5368475723747,51.27115506071321,55.06273963886807,1.7738037072034205,2.176435290542686,2.124089695271714
105,    Cannot do at all,800198,35731,134466,77488,450707,101806,74947,138517,8779,477410,100543,61054,119757,74555,444287,100543,35.4650396911763,31.76465543732268,36.49884585974516,0.95988777627507,1.3483939849580602,1.4079724853586868
106,    Did not report,37245792,25702,23779,0,171355,37024957,10436,17144,15066,170638,37032508,6569,29645,0,182953,37026626,22.40632146172482,19.994936329026086,16.523548360603378,0.6064438181849967,0.8487752032719865,0.6374092359419508
107,Difficulty hearing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,    No difficulty,111900170,9779100,15135742,9802948,71446267,5736113,6394379,11125554,5991087,82709726,5679424,6516931,10501233,7528392,81711591,5642024,32.70201891399083,22.1341130479351,23.100869838252216,0.8851045561600156,0.9395822018314631,0.891134729166436
109,    Some difficulty,14731439,1919825,2436454,1203007,8768027,404130,1478731,2399072,1058813,9389709,405113,1734691,1439893,733242,10285957,537657,38.80202486035584,34.45835310462711,27.53195730355729,1.0502057711624007,1.4627401247754983,1.0620675103108443
110,    A lot of difficulty,1982606,413159,423259,152667,774695,218825,180931,479718,165690,927086,229181,273841,383357,76691,983519,265196,56.07754023883918,47.127136889231075,42.73231202799565,1.517780492213224,2.0005237593438325,1.648433482044356
111,    Cannot do at all,1080681,198782,56099,146016,635643,44144,113179,35018,98618,790984,42881,144846,120377,78443,694135,42881,38.676574015206405,23.782520716901136,33.11485835421083,1.046810350380952,1.0095562958359874,1.2774324316567482
112,    Did not report,37582179,19134,100103,21261,287430,37154252,34947,97896,11821,309416,37128096,17611,83683,28564,298224,37154096,32.83223540463677,31.858492830605854,30.334771527951354,0.8886289626947015,1.3523773361049611,1.1701883348619344
113,Difficulty remembering or concentrating ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,    No difficulty,79740933,5246462,9905121,5935967,54438278,4215107,3665143,6338945,3402250,62149664,4184933,4024536,6004191,4302862,61185085,4224263,27.92097897744276,17.743578273068984,18.978046833897736,0.7557021409100129,0.7532061621838677,0.7320934988096941
115,    Some difficulty,42906435,5174529,6690107,4761664,24364729,1915407,3273483,6580818,3142029,27995334,1914773,3454837,5317710,3435427,28745541,1952922,40.560827115631255,31.704813530127176,29.809345049349,1.0978090672654057,1.345853725458943,1.149919583685697
116,    A lot of difficulty,6781944,1829828,1515219,611874,2575028,249996,1163793,1183058,757713,3476344,201037,1110091,1174278,679025,3532031,286517,60.57796234752634,47.175320970194534,45.62277429951872,1.6395877764521214,2.002569149858773,1.7599354008696946
117,    Cannot do at all,524002,57254,16616,7516,396297,46318,88757,15114,10281,364793,45055,80297,15114,24810,358724,45055,17.03762319859991,23.833952399743605,25.10110722063193,0.4611359915997934,1.0117395454518348,0.9682955032193662
118,    Did not report,37323767,21923,24600,8878,137735,37130631,10996,19324,13757,140792,37138899,18161,17251,3213,152045,37133096,28.684968105376523,23.842417292338318,20.25740673725947,0.7763800770267212,1.0120988759750493,0.7814458413392736
119,Difficulty walking or climbing stairs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
120,    No difficulty,102005849,7973812,12721586,8385884,67537859,5386711,5238137,9673515,5126070,76589261,5378868,5635520,8503669,6019349,76348989,5498320,30.098883722187626,20.737191406197404,20.88804698336023,0.8146487587786572,0.8802835658713305,0.8057732986534514
121,    Some difficulty,21239065,2843371,3906569,2300294,11521563,667271,2062443,3205326,1689606,13678608,603078,1799566,2970066,1829031,13999674,640726,43.993411561480734,33.71476731401314,32.03492767062431,1.1907145279470872,1.4311752740456498,1.2357732325021415
122,    A lot of difficulty,5486028,1376151,1135103,583768,2074029,316977,752403,1133613,439907,2845864,314237,1042826,905546,551638,2674491,311526,59.87601979550985,44.97325974696193,48.314021329975326,1.6205891772345489,1.9090927350500222,1.8637524307217348
123,    Cannot do at all,1223742,113602,301195,52137,675172,81635,132678,67285,38248,905160,80372,149130,136625,43134,814480,80372,40.883559946659986,20.83411319170522,28.76487926043188,1.1065440722789261,0.8843978479496615,1.1096284715134166
124,    Did not report,2159532,2120,14629,0,15373,2127409,2120,0,14629,15373,2127409,2120,0,0,30002,2127409,52.140211063723804,52.140211063723804,6.599632661955608,1.4112137386081305,2.2133262900173505,0.25458616519587896
125,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
126,** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
