,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
56,    5 people in the household,9047354,859049,1128129,830564,3382035,2847572,455806,950768,578126,4215119,2847536,454335,1094571,713062,3951173,2834211,45.44904966013321,32.0122300364301,36.40617960990114,1.2319426534625229,1.2509140078358005,1.2973361114383413
57,    6 people in the household,5946199,469586,863925,773801,2079825,1759054,318724,534988,292145,3046843,1753496,321378,608859,382467,2880618,1752872,50.32813528072231,27.32979178348669,31.304594180229685,1.3641952248770546,1.067942449941601,1.1155408482599856
58,    7 or more people in the household,7896407,994903,1066700,530581,2296283,3007938,462968,784738,477110,3163653,3007938,708739,871969,464969,2808344,3042386,53.02649970778172,35.28335763201117,42.14396682667834,1.4373371333908511,1.378737009422194,1.501802458521074
59,Presence of children under 18 years old ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,    Children in household,29110513,2812551,3640629,1925556,10947688,9784086,1553288,2670843,1421258,13723547,9741581,1991444,2915984,1941502,12486576,9775008,43.353776670669646,29.14661995818871,35.421521186025394,1.175148150922411,1.1389370607818694,1.2622477570871324
61,    No children,35201291,2355731,3861795,2775709,18155330,8052722,1812011,3246398,2153577,19969349,8019963,1306644,2384693,1946498,21515671,8047792,33.126000121774375,26.53286844557411,20.762830602420703,0.8979138792513746,1.036801771349961,0.739884552700272
62,Respondent or household member experienced loss of employment income in last 4 weeks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,    Yes,13586537,2059499,2817534,1301702,3655802,3752002,1289713,1744029,1095020,5746982,3710790,1671074,2362183,1184871,4640436,3727969,62.826915558285165,41.807085580462925,52.92987784838529,1.7029873592633626,1.6336590396819222,1.8861589609928597
64,    No,48226860,3094106,4679428,3384182,25426221,11642921,2059055,4153438,2479812,27930155,11604394,1627013,2915426,2699551,29333028,11651837,30.498946545914592,23.734898136023936,19.80037032375892,0.8267049237895009,0.9274679245750898,0.7055872304128943
65,    Did not report,2498408,14682,5463,15379,20997,2441887,16532,19770,0,15753,2446354,0,23066,3572,28780,2442989,62.850975743528956,69.73911707073424,48.06654757393674,1.703639535022233,2.7251346856687375,1.7128539327119596
66,Respondent employed in the last 7 days ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,    Yes,31285919,2325923,3715072,2767483,15188573,7288870,1596734,2627605,1998003,17832934,7230644,1456717,2436327,2170429,17979955,7242493,36.70650503734855,25.866850410149123,25.218839444927692,0.9949671016930587,1.0107763651525081,0.8986746604846295
68,    No,30281864,2834617,3722420,1916544,13810273,7998004,1750774,3245841,1532551,15768316,7984381,1825687,2819103,1710778,15889156,8037137,38.02564277463599,29.282076367094888,28.57112159659231,1.0307236699053515,1.1442301727943422,1.0181334100069759
69,    Did not report,2744024,7746,64931,17235,104173,2549937,17790,43795,44277,91643,2546516,15682,45245,6789,133136,2543169,46.325616862541025,53.59884156591126,33.713873192103755,1.2557028978097164,2.094435209364348,1.2013956316546337
70,Household income ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,"    Less than $25,000",7162109,1411262,1691394,605676,3396657,57117,726720,1526671,565224,4305655,37837,1002025,1305968,699956,4140642,13518,52.19333111142138,39.563551195125626,42.077508700665625,1.4147532523403712,1.54599040221162,1.499434219730334
72,"    $25,000 - $34,999",6163973,1204895,1355950,737021,2851390,14714,726609,992053,636095,3786322,22893,818404,1019237,819647,3497054,9630,53.63029919539899,38.34434659701551,43.177443961118186,1.4537037317795303,1.49834860692094,1.5386304701724256
73,"    $35,000 - $49,999",5739559,714961,1194050,605725,3208084,16736,426676,879135,501154,3917374,15214,468768,909759,605052,3681323,74656,43.94222921100303,31.56631894129372,35.0152332705432,1.1910987547171255,1.233489528675157,1.247769666003587
74,"    $50,000 - $74,999",7589629,815333,1282111,783534,4695879,12774,481497,960380,621016,5520781,5952,432272,808129,778312,5524451,46464,38.02340153005436,27.20175186786041,26.762148249441715,1.0306629186945429,1.0629391457720145,0.9536705503212071
75,"    $75,000 - $99,999",5263683,356969,658483,465330,3764759,18139,261133,472572,349579,4178456,1945,165976,499470,337810,4250467,9957,28.229331409668855,20.5879502172096,19.096085330677695,0.7651847002822117,0.8044973839693667,0.6804899979084464
76,"    $100,000 - $149,999",6231799,262399,568191,555315,4845896,0,275334,496618,419704,5022213,17926,192950,280488,316630,5440693,1041,22.239244237498674,19.177347203587843,12.680126559240465,0.6028173033720797,0.7493764796391532,0.45185697206298353
77,"    $150,000 - $199,999",2782665,57565,184646,176692,2351518,12244,172203,140144,155414,2305436,9468,62004,46329,100572,2564292,9468,15.1205538797172,16.867211380944084,7.533002523801952,0.4098579707980467,0.6591053158601922,0.26843893829020676
78,"    $200,000 and above",2677385,73822,46163,486656,2054876,15872,137907,119150,65648,2344477,10205,45330,42216,47118,2523817,18906,22.79308799167992,12.099108421628836,5.065452839762887,0.6178298008661294,0.4727863129096586,0.18050767645021057
79,    Did not report,20701011,271085,521436,285314,1933957,17689218,157220,330513,260996,2312178,17640099,110355,389080,182905,2379512,17639158,35.78715403083811,24.460977643264492,22.285197885071558,0.9700471588803184,0.9558403005506503,0.7941341903117417
80,Used in the last 7 days to meet spending needs* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,    Regular income sources like those received before the pandemic,38890546,2955963,4582842,3298680,23382317,4670748,1945214,3770998,2416045,26143750,4614535,1682362,3031106,2654425,26933783,4588870,31.670219093636966,23.725797613963888,21.47968804789597,0.8584534558525293,0.9271123114075416,0.7654298052022834
82,    Credit cards or loans,18731309,2420547,3617757,2456554,7771163,2465293,1417657,2462518,1782803,10609779,2458551,1452839,2152604,1975876,10692404,2457587,52.22457668798556,34.800357751279776,34.29651188584886,1.415600195429155,1.3598632441174232,1.2221579919301737
83,    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),13508663,1686669,2494126,1999450,5671012,1657402,1064283,1996474,1250593,7555610,1641701,920441,1620869,1472454,7845723,1649173,52.148416949048716,36.33069693827283,33.84432214201454,1.4135358083501184,1.4196629745195586,1.206044186796422
84,    Borrowing from friends or family,8188716,2173536,2052849,850649,1610728,1500952,1021250,1741972,807130,3122436,1495930,1758515,1551773,985873,2368888,1523665,75.9152685411746,53.34627463062468,64.45803640512278,2.0577604606542725,2.0845658713986204,2.296965493133766
85,    Unemployment insurance (UI) benefit payments,3807636,688710,753198,438106,1280178,647438,452956,651652,265688,1792214,645127,510139,643439,359523,1652395,642138,59.490386361867195,43.32939447761255,47.799777475771585,1.6125473464946054,1.6931449774479093,1.703347566333778
86,    Stimulus (economic impact) payment,8786940,1154701,1781752,1107341,3531133,1212013,738599,1066591,972986,4796158,1212607,732070,1280709,1083313,4422702,1268144,53.383933600944275,36.67882043210934,41.17802903549983,1.44702574210925,1.4332662928263826,1.4673812148935759
87,    Child Tax Credit payment,4621170,724916,913538,512315,1642561,827845,332933,541029,340731,2589338,817141,499438,824642,558841,1850871,887375,56.69878009398087,31.93174920590774,50.42914782413067,1.5368780231798171,1.2477691285772137,1.7970453159966882
88,    Money saved from deferred or forgiven payments (to meet spending needs),1356361,215535,207026,156969,531274,245559,160117,181362,124266,645055,245559,192825,191774,118696,607504,245559,52.17221431002105,41.92871456839293,45.30915500692292,1.4141808599901613,1.6384118296183743,1.614594104602289
89,    Supplemental Nutrition Assistance Program (SNAP),3797358,808029,815122,442675,1133243,598294,422320,712058,320934,1744457,597588,697866,635053,524543,1336444,603455,64.57595096565746,45.481769002147026,58.156493794582985,1.7503967404687124,1.7772514405023445,2.0724096931564087
90,    School meal debit/EBT cards,4905168,912049,962682,479102,1677517,873817,459845,731712,296908,2550576,866130,697604,765758,561939,1944433,935434,58.38819294077842,36.85196821619405,51.01855691086607,1.5826712743223832,1.4400322378508563,1.8180489395799702
91,    Government rental assistance,696450,253027,117198,11709,104855,209667,100210,138162,52178,217551,188350,243249,110154,56739,97957,188350,78.46083367742916,57.18362527061602,80.7207242668766,2.1267605891931525,2.2345146773106173,2.8764872242841912
92,    Other,3534257,438557,508790,268034,1657268,661612,339311,384787,237086,1932327,640745,281560,378586,195847,2027333,650929,42.30877814696908,33.21859387484828,29.687673410725385,1.1468224045365336,1.298054035953384,1.057921792207147
93,    Did not report,10946139,12726,113918,5154,474282,10340060,127591,31619,16471,420789,10349672,9476,52776,9652,512121,10362116,21.74601000859624,29.45359927707652,12.311843882860778,0.5894476886215735,1.1509326240299047,0.43873319965939445
94,Active duty military* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,    Serving on active duty,480023,74181,76769,15327,121044,192702,74181,35737,16055,161348,192702,99733,0,0,177402,202887,57.87150956595585,43.84399330365689,35.98702442122279,1.5686660466545046,1.7132535071936394,1.2823994944025543
96,    Serving in Reserve or National Guard,188308,22335,33546,7589,74558,50281,13152,28671,19824,76381,50281,33945,12531,7589,83963,50281,45.98375680120556,44.66300071725097,39.16987256116557,1.2464364336212717,1.7452571459598334,1.3958204540697732
97,    Spouse serving on active duty,239836,9632,36996,22883,74476,95849,4615,42083,5025,92264,95849,28891,9435,13031,92631,95849,48.27588601748769,35.92199295769757,35.667803343357384,1.3085669241354116,1.403692405340903,1.2710240346238952
98,    Spouse serving in Reserve or National Guard,101885,3996,27838,6506,22960,40584,5391,25552,2286,28071,40584,25552,6282,2224,27243,40584,62.54384104663872,54.20629353517887,55.55863689009968,1.695314337107495,2.1181720804470423,1.9798349267115651
99,    No active duty service (self or spouse),62694248,5055302,7391119,4648957,28779203,16819668,3267361,5854029,3530134,33299473,16743248,3184739,5266329,3863642,33583360,16796177,37.265470332371436,27.532641291810844,26.830561136218556,1.0101184237535503,1.0758690233529666,0.9561084471138493
100,    Did not report,691835,2843,12816,0,32099,644078,599,7826,1509,36675,645227,1885,6101,1509,38968,643373,32.78891052620558,21.313937521455546,19.5926705459948,0.8887767233828792,0.832866157008881,0.6981858379867076
101,Difficulty seeing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,    No difficulty,30376013,2297755,4040991,2293234,20392700,1351336,1611370,2672433,1824268,22997571,1270372,1342973,2737784,2122368,22833516,1339376,29.7401414665183,20.985866622899664,21.363097248486454,0.8061367413970691,0.8200464164878424,0.7612750859772459
103,    Some difficulty,15669328,2066003,3025920,2090838,7838514,648057,1171872,2594120,1501821,9748184,653330,1282404,2130180,1462408,10145925,648413,47.817265263372185,35.081337917066854,32.454694004992376,1.2961355427757781,1.3708428611233954,1.1565247155707363
104,    A lot of difficulty,2269379,708586,412860,298228,763406,86299,518415,604428,246915,815337,84284,581816,399141,299488,911189,77745,65.03078219762904,62.68642782121601,58.42421681722404,1.7627254029816317,2.4495428957467147,2.0819500170480483
105,    Cannot do at all,163991,90384,7354,0,64032,2220,56117,32309,0,73344,2220,84762,27946,0,49062,2220,60.41750375530843,54.66121863622033,69.67132551569811,1.637677805113394,2.1359487920588633,2.482741322814018
106,    Did not report,15833095,5560,15298,18967,44370,15748900,7525,13950,1827,58462,15751330,6130,5626,3734,62559,15755044,47.30090860502405,28.49874640738702,19.845998129428192,1.2821391710897836,1.1136206707933596,0.7072131796504886
107,Difficulty hearing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,    No difficulty,39992718,4018286,6052979,3518089,24674240,1729120,2570022,4441852,2875907,28434837,1670096,2419194,4390014,3165242,28303424,1714842,35.51509714272035,25.801420894426276,26.058002800364367,0.9626727806007536,1.0082196330019995,0.928578290474624
109,    Some difficulty,6971565,840390,1121021,1057264,3661031,291866,485316,1253556,554616,4402724,275355,588445,668235,625143,4810264,279480,45.19178184525979,34.2505387375844,28.120129974439955,1.2249691480344505,1.3383784458005512,1.0020623000019238
110,    A lot of difficulty,1061184,189454,201608,70911,556196,43016,209443,136095,57845,614785,43016,176073,106006,72949,664650,41507,45.372963990225585,39.61851089407642,34.81769226921859,1.229880274099755,1.548138014458744,1.2407302821062884
111,    Cannot do at all,389307,98192,101345,38974,139858,10940,79550,59872,69645,169302,10940,114376,107871,14747,131192,21125,63.0369456110073,55.255083027853914,64.36870895372397,1.7086804371691113,2.1591547132147446,2.2937823047387136
112,    Did not report,15897026,21964,25471,16030,71690,15761872,20967,25866,16819,71241,15762131,0,28548,9916,92714,15765845,46.95754472675615,47.18633010860299,29.321319398388486,1.2728319444159641,1.8438590889807958,1.0448667478474327
113,Difficulty remembering or concentrating ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,    No difficulty,28116933,2184334,3745352,1999354,18912584,1275309,1564754,2618819,1569998,21103735,1259629,1346183,2578802,1848939,21029281,1313729,29.540090420758446,21.422742208227604,21.54191715288963,0.800714154610672,0.8371178229080222,0.7676473426081806
115,    Some difficulty,17524971,2252787,3181668,2419753,8960138,710625,1284207,2676864,1685810,11224460,653623,1314852,2228586,1722903,11617298,641327,46.71134993891526,33.470241974737284,31.19196898489449,1.2661585846324395,1.3078874693892362,1.1115274435432103
116,    A lot of difficulty,2532411,629704,516495,254199,1034438,97572,402429,555616,307007,1174812,92549,544699,422767,284027,1180271,100647,57.515014339757165,51.84932590449788,51.464410197700104,1.5590028814575618,2.026070910929044,1.833936944737643
117,    Cannot do at all,254714,98431,39076,27962,89244,0,102497,53905,6647,91662,0,92350,60207,18958,73014,10185,64.96266400747504,64.01257881388538,70.14096487533176,1.7608789902501245,2.5013637420716237,2.4994769459179538
118,    Did not report,15882781,3028,19830,0,106615,15753306,11413,12032,5374,98222,15755736,0,10316,13169,102384,15756910,17.654373431164316,22.68408831516392,18.65799111789054,0.4785397233307757,0.8864063452040385,0.6648784877595937
119,Difficulty walking or climbing stairs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
120,    No difficulty,35406168,3087935,4980117,3385581,22396632,1555901,2187546,3500295,2411323,25794940,1512061,1745954,3528918,2610155,25944548,1576588,33.83616737794121,23.895493101499916,23.308084226880734,0.9171636840439222,0.933743354049175,0.8305847985146745
121,    Some difficulty,9580031,1270003,1760002,961135,5183546,405343,713145,1723291,770344,6004117,369129,1019908,1210726,777876,6210969,360549,43.50164278065913,34.81504851533542,32.63209364690988,1.1791562120207144,1.3604373022983778,1.1628463610738315
122,    A lot of difficulty,2939918,680678,639065,306809,1185173,128195,340649,581921,313348,1577994,126010,436064,443250,416724,1519379,124501,57.848941734303125,43.92176290056391,46.03360709976533,1.568054322655498,1.7162924419396424,1.6404099927598017
123,    Cannot do at all,559476,125236,109915,42236,274660,7429,121451,98370,76545,255680,7429,96157,107464,70977,267265,17614,50.246989839633216,53.68492175485058,50.67674057232284,1.361995695277223,2.097798889870792,1.8058682965071893
124,    Did not report,968430,1514,1227,0,6677,959011,0,0,0,7541,960889,0,1227,0,6026,961176,29.100753795519697,0.0,16.914805624483044,0.7888054891510583,0.0,0.6027599816772372
125,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
126,** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
