,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
17,    Cisgender male,41669649,3917676,4396954,2788334,19837665,10729013,2032879,3404303,2345629,23454087,10432755,1236940,3081490,2454321,24487774,10409126,35.88473100552943,24.91544453811573,21.665507643618117,0.9734191915411694,0.94893650247299,0.8354249314340165
18,    Cisgender female,43330931,4262009,5730791,3701597,18423606,11212931,2237033,3117975,2673286,24123543,11179091,1705692,3913994,3565054,22996477,11149714,42.637763870726694,24.969936401773584,28.540685704956402,1.1566038388241142,0.9510118946432407,1.100532735736127
19,    Transgender,1071431,202123,114754,19237,236179,499134,152761,108360,61916,249259,499134,160803,104908,25976,280606,499134,58.730694027751326,56.44569166009956,50.9677667365022,1.5931451371430454,2.149806203203088,1.9653240409407053
20,    None of these,1563782,159344,171028,49140,486480,697790,97466,77676,163786,527182,697677,111736,116758,51095,588336,695857,43.82396142227642,39.13243775292834,32.21349771005559,1.18878096344739,1.4904088328706233,1.2421568678821306
21,    Did not report,1538765,97071,44068,157601,310076,929948,12245,92248,5126,495102,934045,9989,39244,35030,476153,978347,49.068932043619014,18.127232438153197,15.035741178905745,1.3310574949643126,0.6903987814891671,0.5797802317891703
22,Sexual orientation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,    Gay or lesbian,2851829,301564,317297,221119,1449713,562133,100921,287949,194239,1706584,562133,82815,202370,131099,1869249,566292,36.685219347895966,25.466655835534496,18.21383771078744,0.9951334609039381,0.9699300881943275,0.702328067773989
24,    Straight,74209429,6721120,8306432,5480804,34164829,19536240,3382388,5355235,4158673,42073030,19240102,2385960,5734661,5313993,41581448,19193363,37.510809914526845,23.460894836860565,24.4194377693236,1.0175286601821496,0.8935381207956871,0.9416168529106075
25,    Bisexual,4189118,461795,564822,491253,1488277,1182968,279826,457138,281555,1987636,1182968,262612,461731,271887,2009922,1182968,50.49215774329292,33.88117692064601,33.13973021971625,1.3696643110428202,1.2904078623827715,1.277872519857779
26,    Something else,2046371,441652,305351,191519,642525,465328,188480,258833,184438,949293,465328,92380,150180,118921,1216171,468721,59.36094084727613,39.95786325862105,22.912623205400436,1.6102413876190125,1.5218462166678814,0.8835138776904495
27,    I don’t know,2558966,351572,290367,198717,751545,966767,225406,176304,244247,923512,989502,243600,229918,127352,940454,1017644,52.798425322462826,41.15780929030548,38.984066924367525,1.4322247666875134,1.5675476926628618,1.503230940766915
28,    Did not report,3318848,360517,673326,132502,797120,1355383,355364,265106,186594,1209116,1302666,157793,477535,168228,1212106,1303186,59.402383032037754,40.029322749632726,39.865612389378775,1.6113655598464744,1.5245678425800895,1.5372234542024323
29,"Lesbian, Gay, Bisexual and Transgender ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,    Yes,7559673,871556,894136,731609,3047590,2014778,443294,774185,499066,3828355,2014778,413037,704940,416773,4005984,2018936,45.03784111331233,30.957213797556133,27.699383674049137,1.2217090014838003,1.1790449952607245,1.0680920146116888
31,    No,72795652,6621406,8188778,5314218,33756839,18914411,3342481,5289600,4139531,41407651,18616396,2352001,5680156,5296023,40940299,18527174,37.349551767005515,23.572881842452766,24.55970849228534,1.0131543268322507,0.8978032888221501,0.9470257111307854
32,    Other,4945585,751535,670968,412554,1506200,1604326,388407,431776,422412,2076041,1626948,300940,381886,248312,2357778,1656665,54.9211240433621,37.4429321435276,28.31136056821084,1.4898056824386963,1.4260618555794655,1.0916899271671716
33,    Did not report,3873650,393730,703713,257529,983379,1535301,358204,305004,188734,1537132,1484576,159178,489417,170369,1525290,1529399,57.94567021432643,35.659925142544765,34.93499629519194,1.5718503628924907,1.3581537584628702,1.3470982247284369
34,Hispanic origin and Race ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,    Hispanic or Latino (may be of any race),34313677,4331932,4893631,3293628,11568706,10225777,2012876,3452131,2303368,16659981,9885323,1289445,3978634,3012295,16135693,9897609,51.972944922554476,31.800648541444914,33.91362605969151,1.4098325558224507,1.211168283878177,1.307714049060943
36,"    White alone, not Hispanic",31371969,1702560,2604955,1686436,18690738,6687281,1326827,1457445,1529207,20361229,6697261,688538,1185631,1226644,21583840,6687315,24.28206100883268,17.481378097767156,12.561703315752371,0.6586819389151649,0.6658005946924054,0.4843809941535409
37,"    Black alone, not Hispanic",15007642,1935195,2084607,1275986,4964405,4747449,854275,1330613,949025,7137560,4736165,889983,1661231,1552654,6186467,4717302,51.61489652290167,30.510831110267784,39.88078139303463,1.4001200353727659,1.162043940939101,1.537808373053519
38,"    Asian alone, not Hispanic",6239444,344276,543466,309218,3225514,1816973,172093,355178,303257,3576307,1832609,148401,167231,236154,3869966,1817687,27.065412073928808,18.846360256283702,12.478885655634175,0.7341838938592786,0.717787682197876,0.48118753387724084
39,"    Two or more races + Other races, not Hispanic",2241830,324264,330933,150646,844645,591340,166314,205193,164885,1114097,591340,208794,263665,103727,1053380,612265,48.82447030881738,32.49895485583069,35.35827045868069,1.3244261579698486,1.2377641710442406,1.363419734236872
40,Education ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,    Less than high school,14768212,2296164,2438780,1064610,4382196,4586462,1356989,1292346,964688,6560202,4593980,866549,1845420,1152609,6257574,4646057,56.96028678763474,35.521334681575965,38.17939954485976,1.5451205780594797,1.3528753638869009,1.4722028567999799
42,    High school or GED,24163820,2795628,3205223,2040913,8203339,7918714,1214519,2518693,1314749,11517075,7598781,1135559,2624713,2059442,10802226,7541879,49.50268714774776,30.473583551478505,35.01224074853833,1.342823656530991,1.1606253201270549,1.3500767813910397
43,    Some college/associate’s degree,24714170,2157765,2923575,2266286,10455705,6910842,1105791,1834276,1595306,13276082,6902712,824646,1882506,1907313,13180793,6918913,41.271081451737565,25.46323271233607,25.930870231320625,1.1195308315001655,0.9697997141787051,0.999897894910699
44,    Bachelor’s degree or higher,25528357,1388667,1890018,1344104,16252767,4652800,855080,1155247,1374996,17495813,4647221,398405,903755,1012111,18588758,4625328,22.14450613221961,16.21235070735615,11.071462418197859,0.6006980309531138,0.6174680669882813,0.4269171017703697
45,Marital status ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,    Married,47938717,4217428,5189323,3504748,23935433,11091793,2455591,3108580,2468427,28810263,11095855,1288281,3496294,2575526,29442583,11136034,35.0409141343793,21.802318180384574,19.998816390641956,0.9505295804584726,0.8303691121483824,0.7711570892655717
47,    Widowed,3144723,306335,310231,218022,1674657,635481,216528,174842,171422,1938324,643609,99194,205411,201349,2025585,613176,33.260562353093086,22.501653263305872,19.985961153397508,0.9022352629859112,0.8570041812770419,0.770661389563069
48,    Divorced/separated,11031462,1507100,1729974,958618,3879540,2956230,567217,1161618,1004195,5357430,2941004,637643,1050277,1167824,5244289,2931431,51.95754128178608,33.780905852301565,35.25596383520014,1.409414712379755,1.286588910778338,1.3594747768736568
49,    Never married,26158163,2559951,3171702,2010134,9686822,8729547,1288005,2246296,1591483,12620411,8411963,1172106,2462524,2150566,11966028,8406937,44.419975745635796,28.88383992065907,32.5904024882563,1.204948613713517,1.1000779051069978,1.2566903675658194
50,    Did not report,901491,47409,56364,24389,117559,655771,5041,109219,14215,122749,650267,27933,41885,36212,150863,644597,52.157740517662376,51.13962041843136,41.273832787063924,1.4148453725205217,1.9477177083244042,1.5915246249172872
51,Household size ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,    1 person in the household,6242226,447913,618260,429436,3247860,1498759,332209,436493,399289,3578376,1495857,169806,368893,370478,3850843,1482204,31.52987045129649,24.608095156529128,19.10026886430357,0.8552880332130559,0.9372307090341512,0.7365089740250054
53,    2 people in the household,23130042,1937860,1768814,1341930,13094567,4986879,1354185,1530208,1138095,14089810,5017745,579593,957105,1110041,15482828,5000476,27.82648207481794,22.20860225514191,14.59902018614235,0.7548288903302729,0.8458429596376736,0.5629402107088137
54,    3 people in the household,17176272,1506638,2454410,1348331,7537668,4329228,1052086,1136783,1173749,9507669,4305986,515816,1335117,1137543,9847144,4340656,41.32763147693742,26.126987387848256,23.282684679878237,1.1210648232083154,0.9950796580832607,0.8977834986486759
55,    4 people in the household,18324095,1721088,2362130,1423474,7182160,5635244,737189,1922140,920325,9432194,5312255,679871,1770159,1271196,9298864,5304010,43.39787739646403,27.51074406079386,28.580658267591957,1.177222889684179,1.0477817969309093,1.1020740832064175
56,    5 people in the household,12279574,1415848,1614344,1171749,4488375,3589258,384214,962930,810781,6513506,3608144,351507,1367957,1153831,5781801,3624482,48.35199318413738,24.885457185262407,33.19774070570249,1.3116096121064607,0.9477943958695327,1.280109412114111
57,    6 people in the household,5380758,558503,881086,421979,1782215,1736975,269709,394820,340842,2665154,1710234,302657,405752,510050,2458664,1703636,51.0888820766769,27.390394396004492,33.13621359313071,1.3858512212383034,1.0431981263564465,1.277736918256726
58,    7 or more people in the household,6641589,1050375,758551,579015,1961170,2292477,402796,417189,466658,3062470,2292477,625907,1051419,578340,2109204,2276715,54.90640388198786,29.584039224558943,51.67768874886194,1.489406379248098,1.1267458891945503,1.9926987306204942
59,Presence of children under 18 years old ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,    Children in household,40538543,4650003,5489462,3287622,14776001,12335456,1805283,3284944,2236483,20854406,12357427,1951861,4376867,3537769,18348448,12323602,47.60857206872425,25.998651011549722,34.96905061754338,1.2914433642104246,0.9901918034082825,1.3484113640457087
61,    No children,48636012,3988217,4968135,3428291,24518008,11733362,2727101,3515617,3013257,27994767,11385275,1273299,2879528,2593709,30480902,11408575,33.560307999561005,24.847763414721165,18.122483156710466,0.9103662467407518,0.9463587805134548,0.6988054237016069
62,Respondent or household member experienced loss of employment income in last 4 weeks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,    Yes,18000224,4175894,3354040,2088893,3932731,4448668,1529948,2708682,1464718,7834078,4462795,1585025,3261186,2383177,6319247,4451585,70.97950228003339,42.130215419781706,53.35877647932017,1.9254097157584453,1.6045830210944634,2.0575217029253374
64,    No,67255392,4432899,7096319,4615573,35295003,15815600,3002433,4071653,3772773,40937952,15470580,1618101,3990823,3726311,42443396,15476762,31.385801482245494,20.946023710581397,18.02912707423893,0.851379978298051,0.7977560444578212,0.6952056004211814
65,    Did not report,3918942,29432,7236,11448,66274,3804552,0,20222,12251,77145,3809324,22037,4384,21988,66707,3803827,42.0631174053676,29.623784414968345,42.052729878816834,1.1410158190157549,1.1282596354943413,1.6215590030715192
66,Respondent employed in the last 7 days ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,    Yes,48085500,4121259,5901164,4436737,23605551,10020788,2154567,3574753,3140972,29247521,9967685,1486006,3428298,3677822,29529057,9964316,37.985733347989076,23.27072525012255,22.53897990156864,1.0304115652977968,0.8862952693892094,0.8691061409035201
68,    No,36886099,4459301,4492768,2251266,15579237,10103531,2359657,3172226,2081059,19444078,9829085,1732813,3788208,2402409,19138582,9824087,41.830697489501375,28.13666726121367,29.278791244346504,1.1347111317501404,1.0716208808258174,1.128994186064418
69,    Did not report,4202959,57664,63666,27910,109225,3944499,18161,53582,27708,157578,3945932,6341,39888,51248,161711,3943773,57.742010369109344,38.69282215487089,37.60889862878396,1.5663258293004718,1.4736655117785582,1.4502042636197243
70,Household income ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,"    Less than $25,000",11693632,3044116,2926268,1307186,4360283,55781,1394181,1851572,1259473,7117549,70859,1422590,2413715,1837605,5890028,129695,62.53362412012321,38.76205790132871,49.06555613369392,1.696304476290211,1.4763024435414767,1.891974540501362
72,"    $25,000 - $34,999",7526186,1413663,1773409,1159408,2811559,368142,773211,1346393,877219,4493507,35855,487510,1691620,1005193,4321863,19999,60.7216161286519,40.009219886277386,42.422644146755204,1.647151443657687,1.5238021993738071,1.6358229477254957
73,"    $35,000 - $49,999",7554750,1430284,1453877,964116,3694721,11751,635450,999414,773133,5139425,7324,407852,992121,1022314,5124266,8194,51.01786437993695,31.904877238942124,32.097913273286515,1.3839247754490047,1.2151379668396434,1.2376999162264841
74,"    $50,000 - $74,999",10140129,962775,1912905,1418098,5802298,44052,465565,1019271,748391,7862662,44235,244896,1107210,1042461,7725895,19662,42.529172469663216,22.120151023772635,23.660637399440166,1.1536581582834062,0.8424741816089861,0.912357407094266
75,"    $75,000 - $99,999",6966331,673749,834469,627446,4820434,10233,312887,464141,460231,5728730,341,134496,430338,530704,5859343,11449,30.70204013801991,17.761423717231864,15.752071710202992,0.8328320779445382,0.6764664895056078,0.607402034833761
76,"    $100,000 - $149,999",8033669,459037,601983,511968,6456067,4617,436866,497966,405249,6686588,7001,169592,262409,380868,7218784,2018,19.59120454071041,16.695358522365694,10.120820737853276,0.5314364619982096,0.6358640360403727,0.3902602288420249
77,"    $150,000 - $199,999",4093716,92599,192182,206306,3585640,16993,126084,89199,196172,3663553,18711,8815,69206,60121,3945115,10458,12.04612135776701,10.097042825714324,3.3831318030846935,0.3267664375546676,0.3845587619235775,0.1304540240236103
78,"    $200,000 and above",5318549,138046,167847,109833,4891300,11524,136530,89152,230571,4853467,8829,69889,37090,28221,5181475,1876,7.833503704994794,8.592788320288076,2.5429436792520432,0.2124937997243401,0.3272673093458514,0.09805625530798433
79,    Did not report,27847602,423953,594662,411553,2871709,23545726,251608,443452,299300,3303696,23549546,279523,252684,223988,3562584,23528828,33.24521673799989,23.135110384787914,17.5094830153187,0.9018189935638158,0.8811302041704402,0.6751680545932902
80,Used in the last 7 days to meet spending needs* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,    Regular income sources like those received before the pandemic,53031654,4038537,5887212,4537620,32444564,6123722,2185914,3612978,3469933,37668513,6094317,1381292,3169512,3449484,38948651,6082715,30.833525127477373,19.747232357898785,17.040402127085343,0.8363987763299255,0.752098545886233,0.6570802315274505
82,    Credit cards or loans,24671096,3889655,4176547,2901252,10696695,3006945,1547808,3050328,2149163,14962352,2961447,1274088,2741021,2617994,15068191,2969802,50.62489640143295,31.07972404344262,30.565472270916196,1.3732650167934919,1.1837109543236175,1.1786087820425588
83,    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),19488078,3116838,3538600,2047801,8217395,2567439,1616816,2804190,1847446,10932482,2287144,926744,2468407,2003103,11833556,2256267,51.43564022611675,36.442509459079375,31.327258638108326,1.3952574792212888,1.387959480896861,1.207983368322623
84,    Borrowing from friends or family,12410123,3548317,3064959,1237089,2577121,1982644,1258741,2290324,1282876,5907288,1670893,1680184,3206330,1818989,4024937,1679684,75.28535900192175,44.99336544612603,62.49048151711221,2.0422115825041325,1.713629743816919,2.4096414953881866
85,    Unemployment insurance (UI) benefit payments,2230625,570237,385728,170820,720096,383741,357582,269781,184575,1034945,383741,305496,232174,176595,1132618,383741,61.010058022052284,43.96258779652648,38.67405857649966,1.6549757986636404,1.6743712615473387,1.49127697656623
86,    Stimulus (economic impact) payment,9892927,1732547,1820409,1143228,3672688,1524054,813003,1332126,1013947,5227076,1506774,797246,1223749,1073639,5313849,1484436,56.11489145551617,37.670145059361545,36.80367856729585,1.5221881492056382,1.434715549449479,1.419154868160202
87,    Child Tax Credit payment,6383653,1014972,1389376,918817,2115210,945276,382901,824162,625078,3610068,941445,423739,1079837,873650,3064979,941445,61.10582256434227,33.665398308921674,43.68127789309045,1.6575735342665592,1.2821896585772994,1.6843560367501786
88,    Money saved from deferred or forgiven payments (to meet spending needs),2252421,359019,618694,261664,821941,191098,76187,447473,223101,1314565,191098,72315,455204,307857,1220447,196596,60.12531757516896,36.22726763345677,40.63458708790875,1.6309760832861937,1.379761721275123,1.566875223519877
89,    Supplemental Nutrition Assistance Program (SNAP),5443627,1353429,1113224,733063,1336607,907309,635665,693361,484615,2712811,917179,753162,1162341,803984,1829466,894681,70.53553123921206,40.06764244281609,59.782793640548824,1.9133664338523502,1.5260272969987985,2.305232681349204
90,    School meal debit/EBT cards,4156655,988458,992843,568398,965379,641579,209255,729298,313546,2265104,639449,512190,844497,763091,1357591,679286,72.53609879274303,35.599251223840746,60.95924821323248,1.967634385597106,1.355842914836611,2.350596930222873
91,    Government rental assistance,1020492,283322,174059,120755,203317,239035,78648,155136,62613,485058,239035,188782,231149,144537,232749,223271,73.98180578074034,37.92876639405623,70.80445698244276,2.006851035353932,1.4445654730354152,2.730229523941204
92,    Other,4712077,731178,723752,339317,1857914,1059916,304351,388352,369085,2610260,1040030,262225,422887,523513,2464979,1038469,49.12836537052994,28.91542510212968,32.90021689848236,1.3326696999164223,1.101280867052503,1.26863685350457
93,    Did not report,14853943,60126,70830,109974,826264,13786749,19372,49265,100508,882069,13802731,87978,7605,37221,878800,13842339,22.576026476910478,16.090474614064526,13.128061968912736,0.6124035718138723,0.612826260436273,0.5062198611104817
94,Active duty military* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,    Serving on active duty,258127,76164,33738,1858,60251,86117,68611,2166,4404,96831,86117,38760,22542,12324,98385,86117,64.97296668798326,43.707342596360675,42.80332538805883,1.7624747610816007,1.6646499223535782,1.6505020683418077
96,    Serving in Reserve or National Guard,227020,17080,11576,4371,97341,96652,14561,0,11071,104735,96652,6740,0,7008,116620,96652,25.333670839469807,19.661266568483065,10.54553264604811,0.6872081995968404,0.7488244290862824,0.4066371779825356
97,    Spouse serving on active duty,241805,60092,2637,7690,17840,153547,0,2567,7690,78002,153547,59691,0,2637,25931,153547,79.7876679734415,11.62160937252147,70.62022706156948,2.1643424675998015,0.4426238245196434,2.723125593050437
98,    Spouse serving in Reserve or National Guard,150010,77057,2862,4616,27148,38325,61406,15651,0,34626,38325,69135,0,6198,36351,38325,75.69055826655325,68.99494112906837,67.45131396337915,2.053203130428231,2.6277603846557493,2.600931871522022
99,    No active duty service (self or spouse),87388708,8365278,10386752,6660267,39048312,22928099,4380293,6760136,5223956,48408045,22616280,3042088,7231172,6064858,48437907,22612686,39.42298621472844,25.264430414743757,25.22247815711808,1.0693988862105852,0.9622280749622246,0.9725821998550427
100,    Did not report,952748,42552,25300,37112,58480,789298,11112,22206,2621,141804,774997,8745,2682,43724,129521,768069,64.21780360966657,20.21873294665009,29.86316798336573,1.7419899974348148,0.7700562475406887,1.1515278328710081
101,Difficulty seeing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,    No difficulty,45993265,4330883,6203045,4199720,28985619,2273993,2223367,3515375,2755089,35552051,1947382,1615034,4036715,3843234,34554048,1944232,33.70057946070099,19.284052041821933,21.555485678879716,0.914171289400209,0.7344577324349656,0.8311824694589846
103,    Some difficulty,19565296,3237592,3732074,2218487,9412682,964462,1716290,2649076,2252645,11993537,953748,1165075,2649000,1993689,12799128,958407,49.39645716960863,35.55862736404301,31.212977086067422,1.3399420326051579,1.3542957032918022,1.2035766560799
104,    A lot of difficulty,2528382,941903,485443,211791,712704,176538,575765,610004,206007,957156,179452,342456,535170,261966,1207404,181385,69.69582166164082,59.25148897583155,48.55532410139425,1.8905882383573684,2.256668574748002,1.8722999237044204
105,    Cannot do at all,409742,108896,26475,13311,69330,191730,15276,7158,19617,175962,191730,83645,33824,16853,83690,191730,68.19899822028145,19.28838779516724,61.6122048327615,1.8499849894729505,0.7346228651344358,2.3757750265810307
106,    Did not report,20677876,18950,10557,72601,113675,20462094,1684,18950,16382,170472,20470388,18950,1684,15738,185081,20456424,47.31998035053897,17.84006785934608,16.42432671639904,1.283614945015695,0.6794617520241508,0.6333242796154539
107,Difficulty hearing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,    No difficulty,58562525,7225923,9032952,5552985,33734881,3015786,3648236,5496621,4536971,42180420,2700276,2694865,6120099,5135244,41904848,2707470,39.26757968636107,24.492082300517477,24.975730486703487,1.0651832855089864,0.932812211356649,0.9630675760101528
109,    Some difficulty,8065105,929500,1205914,952214,4613384,364091,668129,994135,574501,5493166,335171,254678,920984,815641,5735911,337894,40.09378505220222,28.936404890391042,25.77000938631027,1.08759516200153,1.1020799090629676,0.9936950787743885
110,    A lot of difficulty,1115335,238027,150524,107852,579116,39818,139370,215789,91985,622767,45424,74638,143572,104461,749303,43363,46.15482600460988,41.792635088339125,30.10069292854664,1.252008644239462,1.5917258433494412,1.1606868271722601
111,    Cannot do at all,610943,167074,36358,31694,204006,171810,74886,16564,3250,344432,171810,152398,37636,26376,222722,171810,53.543231777160905,21.565220559602672,49.28119726825358,1.4524285936822074,0.8213389466755066,1.9002896920785706
112,    Did not report,20820649,77701,31845,71168,162624,20477311,1760,77451,43033,208389,20490018,48579,34106,49756,216567,20471641,52.63443021162819,36.9729396215116,37.947840737175085,1.4277761897097243,1.4081615905712277,1.4632739175747824
113,Difficulty remembering or concentrating ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,    No difficulty,42443203,4249124,5767902,3422369,26727973,2275834,2234062,3264938,2582936,32408554,1952716,1661170,3626340,3614180,31642063,1899455,33.45848965113946,19.96008593327119,21.95576491842836,0.9076042939093572,0.760205345949293,0.8466172915621671
115,    Some difficulty,21938389,3257629,3985714,2863652,11054720,776676,1661592,2884025,2265295,14357306,770169,929350,3058432,1952412,15193536,804658,47.760760199327905,32.17517580599597,28.107644599053522,1.295571661759361,1.2254326327225318,1.0838346115953068
116,    A lot of difficulty,3738115,1015260,675875,382479,1333702,330795,572965,627499,361140,1845715,330795,560322,542685,537506,1746109,351494,60.8576241738375,45.83085826984257,48.440997678807285,1.650840835710459,1.745526726821498,1.8678914812473177
117,    Cannot do at all,328194,102309,9698,12650,44694,158843,55318,20988,23288,69757,158843,61396,27312,14667,65975,158843,73.60865893912643,58.80921872324344,61.041859805965125,1.9967289503692627,2.2398241477502507,2.3537824445126643
118,    Did not report,20726658,13900,18409,34766,132921,20526667,8448,3113,17083,167847,20530174,12924,1627,12712,181674,20517727,33.539009255416495,14.578286272673601,13.048805586533351,0.9097884910846541,0.5552326375906235,0.5031637241897985
119,Difficulty walking or climbing stairs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
120,    No difficulty,52501877,5725614,7401318,4880502,31791471,2702970,2664785,4579199,3873585,39000404,2383902,2214237,4749328,4658163,38521305,2358844,36.16029966280184,22.18279768885315,23.177154042516733,0.9808943435643199,0.8448601597986249,0.8937142228702294
121,    Some difficulty,12313225,1952534,2208429,1559581,6024667,568023,1316296,1636435,998435,7815339,546724,627548,1764573,1147268,8191557,582284,48.70536922225773,33.57978722816579,30.171398867320192,1.3211953887779964,1.2789290513093399,1.1634132578206218
122,    A lot of difficulty,3095689,825217,711264,215421,1236903,106885,470134,546934,278810,1684717,115099,315320,635921,282849,1753560,108041,58.61548632831058,43.47723101801992,41.30640557388286,1.590019981052795,1.6558858292227026,1.59278063602224
123,    Cannot do at all,577632,134865,97173,52115,129468,164013,81167,34884,49160,248407,164013,68056,75776,30488,239297,164013,68.699213527425,39.94279759875634,42.145065869798046,1.86355396898686,1.521272421785049,1.6251194914848657
124,    Did not report,1338180,0,15397,0,0,1322783,0,0,15397,0,1322783,0,15397,0,2835,1319948,100.0,100.0,84.4504168494954,2.712627806492897,3.808627620596148,3.256419598681589
125,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
126,** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
