,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
17,    Cisgender male,52575826,2826426,4625721,3253071,29100633,12769974,1917754,2642831,1727786,33528149,12759306,1523079,3321157,2278404,32744209,12708978,26.893578361292203,15.79337169596941,17.866072582412336,0.7659764899088918,0.7432609670453137,0.7735678552845969
18,    Cisgender female,54641502,3681132,5428783,3841718,28629616,13060252,1850979,3297004,2076323,34350818,13066381,2271031,4421838,3132092,31743989,13072555,31.147772132872387,17.376512265592684,23.635337695708287,0.8871434230990605,0.8177660577503697,1.0233663501510046
19,    Transgender,1123876,239368,172050,78573,521481,112408,285436,58016,38600,629419,112408,264075,109169,82721,555505,112408,48.4435493757588,37.77203035587878,45.079527973203305,1.379757628794359,1.7776112884584507,1.9518600750453423
20,    None of these,1780601,177709,231978,201752,673791,495371,71458,257215,42414,914144,495371,55823,152323,54272,1002501,515683,47.5742863145118,28.873197793391064,20.745850719177053,1.3549994854369927,1.3588182008711478,0.8982569153271238
21,    Did not report,2056206,79650,109976,27877,521347,1317353,27756,90421,7941,621041,1309049,17256,72594,32261,638245,1295847,29.437926082725525,16.879718720429576,16.059650770228274,0.8384439953702044,0.7943861704211785,0.6953531362664869
22,Sexual orientation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,    Gay or lesbian,3942384,226131,578440,260828,2166915,710078,132136,341957,231787,2526427,710078,150477,170229,293751,2617856,710078,32.960957285603534,21.83827892532452,19.00986478384163,0.9387861305211006,1.027743829823521,0.8230919393310212
24,    Straight,96221540,5723292,8436359,6203770,52776344,23081775,3550706,4939059,3031600,61623977,23076203,3455189,6633694,4736371,58393881,23002407,27.841791671056093,15.751332173095326,20.247786872865596,0.792983275429974,0.741282520832116,0.8766916731840222
25,    Bisexual,4633547,365391,786472,344344,2298641,838697,185102,508993,383590,2717164,838697,265429,499562,285869,2721794,860891,39.42730279194171,28.39861918125881,27.85464669983163,1.122959042245335,1.3364837833077048,1.2060546159714258
26,    Something else,1885668,234867,247446,141383,731485,530493,121130,117436,89414,1024705,532987,62300,261505,118495,895461,547911,46.02328112605383,24.246662738664917,33.062805875805545,1.3108241252775783,1.1410861684057567,1.4315582629064
27,    I don’t know,2738142,348758,312826,116728,978966,980865,125334,264593,102643,1255677,989895,164484,293756,98695,1204510,976695,44.29079763748117,28.1750805235187,31.618039032681654,1.2614799434221804,1.3259637017113015,1.369002534272349
28,    Did not report,2756725,105848,206968,335939,494519,1613450,38974,173447,54034,895617,1594652,33385,218332,46574,850947,1607488,56.745314994205245,22.929282411690146,25.955568781722132,1.6162065387548252,1.0790881736366202,1.1238280591636092
29,"Lesbian, Gay, Bisexual and Transgender ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,    Yes,9209893,821866,1427178,668383,4645217,1647250,511128,887130,619001,5545383,1647250,595438,756370,636586,5552056,1669444,38.576817654886,26.673994792561277,26.36970291822145,1.0987357272498397,1.2553202410565971,1.1417593003076356
31,    No,94595952,5439548,8264220,6103307,52106269,22682608,3301172,4790233,3023466,60804047,22677033,3263541,6525513,4676987,57529568,22600342,27.54297589053848,15.45472478528216,20.09294872284574,0.784472475579713,0.7273237096205075,0.8699874680446674
32,    Other,4912399,609379,621188,272134,1812719,1596975,274348,456102,192955,2380489,1608501,225698,542371,206277,2311734,1626317,45.32454974084762,27.948956051306666,29.650690396648656,1.2909230244780003,1.3153219276098396,1.2838199818141616
33,    Did not report,3459766,133491,255925,359164,882665,1828524,66730,212021,57641,1313648,1809725,46585,252827,59902,1291092,1809361,45.890186741145705,20.386887356132362,21.77126220533748,1.3070333627241935,0.9594390547542122,0.9426553336406247
34,Hispanic origin and Race ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,    Hispanic or Latino (may be of any race),22727012,2114874,3487794,1983071,8176504,6964769,988414,1990826,930642,11901729,6915401,1195843,2751145,1518889,10344319,6916815,48.126012268685365,24.727916718922568,34.57184625846218,1.3707136125825927,1.1637347393155388,1.49689691676918
36,"    White alone, not Hispanic",62357971,2550477,3949712,3243214,40252177,12362390,1943293,2409117,1872270,43789183,12344109,1253652,2533746,2094729,44148651,12327197,19.48852839613965,12.445909496051314,11.757017790690186,0.5550676214902758,0.5857241193249677,0.5090570966245924
37,"    Black alone, not Hispanic",17123980,1754101,2297927,1601524,5761887,5708541,896665,1330536,630273,8513532,5752976,1480676,2282077,1495484,6132846,5732898,49.525489120479726,25.12947845238644,46.16099682189979,1.410573178767696,1.1826328674726136,1.9986856733397764
38,"    Asian alone, not Hispanic",7490080,327694,588790,337943,4109721,2125933,189973,434574,308771,4425871,2130892,93647,291673,280586,4698335,2125840,23.385395664958473,17.415287539828796,12.41379953171372,0.6660572663828594,0.8195908832772415,0.5374945296670287
39,"    Two or more races + Other races, not Hispanic",2478965,257141,244281,237239,1146578,593731,135040,180438,151104,1413246,599143,107442,218442,190066,1360296,602723,39.18139604950897,24.82054151935662,27.499117917624698,1.115955185009116,1.1680938084280934,1.1906608781325625
40,Education ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,    Less than high school,8441114,1251988,1471334,327656,2201613,3188520,845655,1022741,295757,3062415,3214548,911845,1205307,501563,2590436,3231966,58.08516706221726,41.40678602355734,50.271464738571446,1.654367886057353,1.9486686196312275,2.1766613216445982
42,    High school or GED,31557655,2195340,3699364,2710892,13831550,9120507,1135120,2195484,830216,18382614,9014218,1287699,3125078,1775148,16341883,9027848,38.354232899832006,18.456901669430444,27.465503810130286,1.0923961213003064,0.8686108861087688,1.1892054495305675
43,    Some college/associate’s degree,30930180,2239156,3192784,2321936,15043840,8132461,1051806,1872002,1377827,18451287,8177254,1201106,2625418,1895352,17069610,8138691,34.01163072498613,18.905854130585226,25.105318919707265,0.9687111610368282,0.8897392966128056,1.0870138147805242
44,    Bachelor’s degree or higher,41249060,1317801,2205021,2042508,28369867,7313869,1120796,1255261,1389267,30147250,7336493,730614,1121279,1407687,30682522,7306960,16.399878226705724,11.103034459172614,9.603353946868344,0.46709742341709437,0.522526303320536,0.4158074407204018
45,Marital status ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,    Married,60753935,3103370,4965473,4024047,35817415,12843629,2059919,3045706,1594203,41182368,12871740,1625995,3569238,3059723,39586372,12912610,25.240686210603624,13.992315932884864,17.254864910200542,0.7188992095717889,0.6585004438370624,0.7471036950196369
47,    Widowed,4393034,229421,599164,278529,2378929,906988,227028,380912,131872,2739517,913701,211722,456128,143929,2682634,898623,31.75844495454162,21.263040933420285,23.23078195438373,0.9045364608771125,1.000672223179003,1.0058498357790893
48,    Divorced/separated,13419710,1374159,1856036,925811,5858598,3405110,465788,1220871,656111,7665155,3411788,868554,1628362,884202,6666466,3372126,41.4994707726719,23.409155267197328,33.65105482074099,1.181978036856547,1.1016717466385835,1.457028352799301
49,    Never married,32060307,2288768,3018833,2135451,15048798,9568454,1358278,1613439,1497856,18068326,9522411,1406105,2348694,1476262,17318866,9510378,33.09221343390426,19.83136757752365,23.197682795364898,0.9425245368575016,0.9332954183091278,1.004416703492415
50,    Did not report,1551026,8566,129001,39151,343128,1031179,42368,84563,13022,388201,1022873,18890,74655,15634,430116,1011730,33.9942329185318,26.498571436685957,20.244726458197356,0.9682156408594471,1.247064541409922,0.8765591628967012
51,Household size ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,    1 person in the household,10300126,657275,877775,507605,6231947,2025527,409204,598810,464103,6790733,2037279,292114,668084,421585,6913717,2004628,24.685848824819185,17.816098978959673,16.65702288156781,0.7030964633725297,0.8384537014003195,0.7212182423688018
53,    2 people in the household,34907317,1529747,2216591,2079956,22503937,6577086,1106619,1632547,1241127,24345548,6581477,865440,1710285,1246474,24534994,6550123,20.56564240510429,14.051809231429676,13.478763096235827,0.5857457260078178,0.6613002922456462,0.5836054797240989
54,    3 people in the household,21887674,1263538,2239783,1537777,11386567,5460006,874748,1191041,690540,13646300,5485045,850907,1393172,1399437,12763432,5480726,30.686631845737327,16.804190352656274,22.207152725784223,0.874009335334686,0.7908316863786821,0.9615285859172784
55,    4 people in the household,22269317,1328516,2328687,1425000,11111535,6075582,630070,1250926,695907,13629817,6062598,591981,1798936,1086276,12727042,6065080,31.383760448099217,15.900213979152719,21.458541985037616,0.8938647860552497,0.7482891333070134,0.9291151272519171
56,    5 people in the household,11799304,896267,1779974,997067,4840944,3285048,609859,753202,522566,6695695,3217977,631890,1418962,636606,5891478,3220364,43.143029760909236,21.973606180023207,31.326224451971925,1.2287894922848885,1.0341125437454888,1.356367503361156
57,    6 people in the household,5492034,452098,706690,519355,2021925,1791966,155994,590555,65791,2887727,1791966,254922,700837,372797,2371512,1791966,45.35438267621028,21.954731642769808,35.9062590201045,1.2917727190335473,1.033224278270481,1.554674518048166
58,    7 or more people in the household,5522239,876844,419006,336236,1350013,2540144,366884,328413,213033,2047745,2566172,644013,386803,416570,1482278,2592582,54.72951062927237,30.72765265469287,49.404623135063254,1.5587928792168049,1.4460917698143032,2.1391286855823557
59,Presence of children under 18 years old ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,    Children in household,42413984,3491134,5004197,2983317,17963444,12971893,1661605,2786703,1279096,23759136,12927447,2239639,4078175,2682511,20452877,12960784,38.98720372815912,19.42379330607728,30.55805481238032,1.1104242455901763,0.9141143306370552,1.3231071805984134
61,    No children,69764027,3513152,5564307,4419676,41483426,14783464,2491774,3558784,2613968,46284428,14815066,1891627,3998905,2897237,46231574,14744685,24.548921043242135,15.768316347237214,15.972144850441868,0.6991965189287528,0.7420818228393237,0.6915642919985804
62,Respondent or household member experienced loss of employment income in last 4 weeks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,    Yes,16709429,2864092,2963503,1914807,4644746,4322280,1263801,2077788,1198860,7867886,4301094,1723165,2940559,1566799,6141585,4337317,62.50350262195119,36.59192792586596,50.35941317052416,1.7802098665412778,1.7220738079109814,2.180469325869784
64,    No,91430220,4124999,7595956,5441196,54704906,19563167,2874383,4264847,2694206,62018029,19578756,2379702,5124620,4012949,60398661,19514293,23.880415689231057,13.685783771921475,16.014910021253012,0.680156308746544,0.6440745571566214,0.693415944694642
65,    Did not report,4038359,15195,9047,46989,97216,3869910,15195,2854,0,157649,3862659,28395,11901,0,144205,3853857,42.28638935226686,10.272623790552077,21.840413654052533,1.2043908643109176,0.4834458682820088,0.9456494633031778
66,Respondent employed in the last 7 days ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,    Yes,63254281,3551488,6055134,4282019,36986983,12378660,1974783,3194315,2405406,43288880,12390900,2018084,4356664,3164492,41305865,12409179,27.299206824423823,14.891861003105555,18.761374497783486,0.7775295031309585,0.7008344527911926,0.8123327701426971
68,    No,44723156,3406490,4502636,3111009,22310935,11392089,2148125,3131991,1476890,26586341,11379809,2085206,3692391,2411946,25195928,11337691,33.062652929772696,20.26493021231492,24.53026489222181,0.9416826016233557,0.9536995593255716,1.0621150403765398
69,    Did not report,4200571,46308,10736,9965,148951,3984609,30471,19186,10771,168342,3971800,27974,28023,3314,182659,3958600,31.02814384012002,26.41418711287707,24.511615028247185,0.883736198573367,1.2430932821167804,1.061307535805535
70,Household income ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,"    Less than $25,000",10123055,2262356,2236922,1264321,4321588,37871,949143,1570562,831430,6733538,38381,1416686,2355450,1068105,5226015,56800,57.14917050596201,33.229978480216616,48.083830580488964,1.6277090551983435,1.5638551675703312,2.0819408140451214
72,"    $25,000 - $34,999",7604791,1188839,1879769,987332,3530676,18177,349609,1360509,517710,5331968,44993,667654,1556268,821739,4511232,47889,53.461794682054474,29.469411748832442,40.30303687939846,1.5226860957160602,1.3868769694240568,1.745046856629452
73,"    $35,000 - $49,999",9307852,1018736,1946651,1054985,5201364,86115,412119,980202,599216,7220918,95398,531595,1347521,1077919,6275465,75350,43.5966889968777,21.61787727786755,32.02853354377827,1.2417105065327365,1.0173713808758997,1.3867761863769368
74,"    $50,000 - $74,999",13481936,1077081,1852316,1626225,8870656,55656,708799,1094079,651473,10962319,65268,550631,1362192,1277691,10223883,67540,33.930634546575824,18.293297560914528,23.784253871736006,0.9664042471854511,0.8609114188734628,1.0298141447838525
75,"    $75,000 - $99,999",10163313,396238,822040,932945,7990248,21836,403297,361708,447799,8915733,34773,224668,561167,463801,8908318,5359,21.21212718817979,11.974124602361249,12.302044289627617,0.6041587515363362,0.563521178555142,0.532655734652703
76,"    $100,000 - $149,999",13702046,406010,682532,876738,11734439,2332,386023,529511,437207,12345364,3943,183691,361590,487297,12667893,1578,14.345408962552064,9.875389314856225,7.536808231660408,0.4085825194336547,0.4647513876965372,0.32632983844452845
77,"    $150,000 - $199,999",6727736,61498,347838,235176,6072721,10502,177229,95833,204058,6246088,4533,110934,23775,243181,6349850,0,9.594901711031653,7.0966174902051895,5.616896976932508,0.2732797039837176,0.33397800546077977,0.24320123674397012
78,"    $200,000 and above",8942860,271680,213337,90749,8344115,22977,416758,64194,86958,8348751,26197,240798,92122,27147,8578363,4431,6.454860450523848,6.369086731213234,4.028302960173426,0.1838457971015211,0.2997392611385921,0.1744180578559586
79,    Did not report,32124421,321850,587098,334520,3381064,27499892,350406,288890,117214,3938888,27429027,204608,416993,112868,3943435,27446522,26.88853286464416,16.111746958828164,15.700830650683137,0.7658327852757486,0.758244208769188,0.6798168896163563
80,Used in the last 7 days to meet spending needs* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,    Regular income sources like those received before the pandemic,74078528,3167389,6761081,5111680,51201187,7837194,2439719,3396017,2732638,57689371,7820782,2038571,4475260,3566799,56195218,7802681,22.705083203789343,12.931882711494595,15.210111158594472,0.646680768988313,0.6085947848814983,0.6585696444095354
82,    Credit cards or loans,35081543,3074053,4721454,3702601,19545751,4037688,1434967,2588186,2015838,24964385,4078165,1568832,3422388,2680139,23366095,4044088,37.03827375820432,19.47849360156819,24.71645629449966,1.0549152866331617,0.9166886127667295,1.0701767832732016
83,    Money from savings or selling assets or possessions (including withdrawals from retirement accounts),22727240,2418253,3376628,2420461,12115132,2396767,1140112,1935944,1628494,15654061,2368634,1193854,2176061,1992536,14991079,2373717,40.40900573242934,23.108409288926758,26.346549440114124,1.1509196714478158,1.0875181668364047,1.1407567975852695
84,    Borrowing from friends or family,10774308,2655827,2860675,1356612,2221469,1679726,1004187,1926747,757434,5391817,1694124,1865730,2640121,1454647,3153669,1660147,75.57372070536063,40.61996981558964,65.39820834852489,2.1524727032444497,1.9116398086288091,2.8316213055926585
85,    Unemployment insurance (UI) benefit payments,4110275,601548,831650,484675,1628158,564243,504057,438137,221688,2389320,557071,569126,609875,352367,2014664,564243,54.08504491781236,32.75584514708415,43.18539708609511,1.5404373604048762,1.54154170553851,1.8698477155181004
86,    Stimulus (economic impact) payment,10805783,1781393,1721252,1157483,4723963,1421689,811217,1076794,679623,6833691,1404460,923517,1528034,1053251,5886130,1414852,49.659860610944435,27.311411383270208,37.32113461380985,1.414400315537198,1.2853180705727578,1.6159360109402645
87,    Child Tax Credit payment,7065430,876597,1165362,977956,3130673,914843,220886,586934,326843,5023094,907671,594926,957277,831695,3766691,914843,49.0996225238339,18.426557453774986,38.75886968186939,1.3984437478498037,0.8671828394885488,1.6781872767367063
88,    Money saved from deferred or forgiven payments (to meet spending needs),2502525,437617,358860,324746,1021309,359995,265450,193370,235132,1448579,359995,217765,288063,297477,1338169,361051,52.33172931067477,32.38937144404046,37.511779269792676,1.4904998431129899,1.5242948754021404,1.6241905714750338
89,    Supplemental Nutrition Assistance Program (SNAP),7728248,1627335,1741505,766980,2472314,1120114,702931,1157995,499740,4239815,1127767,1206800,1850945,955656,2568796,1146049,62.58680589709591,35.765060152434344,60.973559140342005,1.7825824905720427,1.6831601071046973,2.6400421892215458
90,    School meal debit/EBT cards,4370842,1031983,903088,586154,1051927,797692,384180,472401,342617,2388577,783070,779594,1001465,452019,1354696,783070,70.5602899402488,33.424587738574246,62.24135758905527,2.009681362937399,1.5730137860304905,2.6949355141187983
91,    Government rental assistance,1275715,509638,211225,132725,230640,191487,370603,161761,60691,494029,188633,423848,312621,133340,195081,210827,78.7277214755568,54.55476219825184,81.68079647812728,2.242304201554916,2.5674331035182347,3.536627216645453
92,    Other,4405758,659205,438891,314344,2165903,827420,378322,291583,385925,2521184,828742,431885,425002,338222,2372178,838474,39.47195597509235,29.517061148174907,33.50193032009787,1.1242308435665833,1.389119425266684,1.4505715380964188
93,    Did not report,16640222,90097,39842,4521,583089,15922673,22040,85770,10849,641171,15880392,1630,86571,0,668181,15883839,18.738789964169694,15.616519484621561,11.66089137381459,0.5337137501402027,0.7349380232078018,0.5048950007976757
94,Active duty military* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,    Serving on active duty,353007,176840,2963,3875,16879,152452,178910,3157,3681,14809,152452,172616,2963,3157,21821,152452,91.5848520356012,92.61698785869214,89.12069008501409,2.6084979301982454,4.358701440443129,3.858760831320823
96,    Serving in Reserve or National Guard,375867,25438,69893,28694,148062,103784,25438,58571,8152,179924,103784,0,58571,0,213514,103784,45.58351679450755,33.87238452972071,21.526887016094353,1.2982988623862044,1.5940878088822577,0.932074340523331
97,    Spouse serving on active duty,126784,5901,11017,0,74604,35262,0,7407,4052,80063,35262,0,4598,4052,82873,35262,18.485172963877538,12.520486877472084,9.451279473787723,0.5264902911770544,0.5892338484506777,0.4092228976742531
98,    Spouse serving in Reserve or National Guard,145220,7583,2367,17500,58961,58810,0,4176,0,82235,58810,0,3407,5164,77840,58810,31.76715657909964,4.832773984492535,9.918990857539637,0.904784583291717,0.22743796159385427,0.4294739344005523
99,    No active duty service (self or spouse),110022186,6753098,10474673,7352924,59119994,26321498,3907693,6254705,3868843,69675035,26315910,3910021,8007542,5561315,66251241,26292066,29.36737509254404,16.76247190831904,20.875257314810966,0.83643457888078,0.7888683506275433,0.9038599812601903
100,    Did not report,1274978,35428,9962,0,82762,1146828,41340,17476,8335,68260,1139570,48628,0,6060,93920,1126370,35.419430355052675,49.59160463192721,36.800172265288545,1.0088077746092885,2.3338590850402077,1.593379306058948
101,Difficulty seeing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,    No difficulty,60276973,3303250,5554225,3912845,44790621,2716028,2184997,2776499,1923356,50720528,2671591,1635107,3962406,3309492,48693931,2676041,22.185737221652634,11.951751313792174,15.463300142435196,0.6318888804898332,0.56246825632815,0.6695322585099708
103,    Some difficulty,24515221,2573853,4421247,3093759,13456332,970022,1336087,2705716,1884564,17572419,1016427,1778045,3444441,1917190,16411996,963543,42.84890095853511,25.219877241359708,30.314935521791696,1.220412185829162,1.1868871769769702,1.3125805655669658
104,    A lot of difficulty,3075616,931767,568648,346533,1016953,211711,565596,738957,68746,1510953,191361,606110,585200,324248,1361521,198533,64.49054699789274,47.613647198323314,52.6768953137605,1.8368043909266067,2.240773290367871,2.280812010751098
105,    Cannot do at all,253603,77514,2007,44170,93390,36523,51923,45407,13666,106084,36523,80416,0,13086,106160,53941,56.97945457895707,51.13138013635526,46.83014294157125,1.622875246610194,2.4063233474209857,2.027658461079138
106,    Did not report,24056602,117898,22376,5686,89574,23821069,14774,78909,2733,133581,23826605,31589,85033,15730,110844,23813405,61.97008487133437,41.92054678974074,54.42172395218691,1.7650171892863742,1.9728470111270011,2.3563598594145683
107,Difficulty hearing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,    No difficulty,74898719,5377380,8780312,6181817,51194237,3364968,3080426,4935509,3190750,60361552,3330480,3031414,6566091,4721143,57251216,3328850,28.433443955707006,15.658740743921337,20.006530960675644,0.8098345748054323,0.7369250222236631,0.8662457389863054
109,    Some difficulty,10835347,1053206,1343878,864008,7161876,412381,603178,948781,602365,8258420,422604,569348,977857,700503,8197216,390426,31.287562484613307,20.689303481320916,21.51962662044069,0.891124898584069,0.9736712343029975,0.9317599788376044
110,    A lot of difficulty,1828963,383469,403482,250882,718689,72441,358118,344963,59222,1005354,61300,429239,404014,94157,841499,60053,59.08454320526586,43.1249055956933,52.42833157141968,1.6828318792034949,2.0295260349614295,2.2700496610417735
111,    Cannot do at all,333552,83795,22695,36896,138077,52087,82358,34806,10769,153532,52087,64725,32582,15804,150935,69505,50.942745989732295,45.452542944948746,42.83744939347919,1.4509391511729088,2.139068317663477,1.8547822248185335
112,    Did not report,24281433,106434,18135,69389,233991,23853483,29298,81432,29955,264704,23876042,36539,96533,48143,243586,23856634,45.322584414067066,34.70353313221063,42.65899872645652,1.2908670485089913,1.6332029722518804,1.8470556414227666
113,Difficulty remembering or concentrating ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,    No difficulty,55142008,3135544,5229597,3849524,40304768,2622576,1886508,2897516,1541052,46187096,2629832,1728072,3612622,3154407,44011872,2635031,23.257420224955975,12.044970294127594,16.178994650558533,0.6624123003983868,0.5668552884834664,0.7005205052628103
115,    Some difficulty,27935931,2438488,4562920,2994679,16991667,948181,1521242,2625382,1930952,20885267,973086,1528852,3621692,1921514,19939618,924250,37.039349334420244,22.540559054506303,26.181480523185506,1.0549459209386245,1.0607942397043681,1.1336096191858978
116,    A lot of difficulty,4692954,1176383,738980,525895,1893070,358623,653724,658136,412305,2671369,297421,707835,686939,473093,2533079,292009,56.32375561534179,39.22539086841118,42.4424072557144,1.6041997849873624,1.8460087251049895,1.8376776318617927
117,    Cannot do at all,327944,147122,8750,27144,120019,24907,69498,83434,8750,141354,24907,124660,78111,9084,73765,42325,60.393945293809004,53.35388087923258,74.17398702467273,1.7201259574472894,2.510917735700437,3.2115962697402267
118,    Did not report,24079181,106746,28258,5753,137344,23801072,22410,81022,0,158476,23817266,41844,77714,21653,126112,23811851,50.612170048434244,39.4906744554531,52.82272846294842,1.4415237659920264,1.8584933888767126,2.2871263160314736
119,Difficulty walking or climbing stairs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
120,    No difficulty,66959040,3956062,7110041,4932836,47759490,3200610,2358993,3770802,2559718,55127783,3141743,2207253,4981273,3862147,52744909,3163457,25.09305671422587,13.6162347960303,17.32200331173398,0.7146944614373716,0.6408014727213911,0.7500106634673406
121,    Some difficulty,17006404,1992403,2696843,2045928,9706063,565167,1005290,1834769,1132866,12431348,602127,1070649,2374803,1340830,11674806,545320,40.965129326947846,24.218836343716944,29.076347584399663,1.166759051137724,1.1397766143968624,1.2589520017127627
122,    A lot of difficulty,3829936,861132,726887,379278,1728361,134281,708336,609864,191223,2193369,127148,750341,590202,359192,2002700,127503,53.232701645581095,40.764499614884784,45.908595780126205,1.516161122446121,1.9184416088054228,1.9877571756715984
123,    Cannot do at all,313579,96607,27361,41997,125488,22129,60947,56816,9260,164432,22129,84301,36268,3984,158064,30967,56.94458740778864,43.58311888831704,44.072084695625094,1.62188216815013,2.0510902747922097,1.908239646886764
124,    Did not report,1349571,0,0,0,0,1349571,0,0,0,0,1349571,6600,0,0,0,1342971,,,100.0,,,4.329814802421155
125,* Totals may not sum to 100% as the question allowed for multiple categories to be marked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
126,** The Census Bureau considers estimated coefficients of variation (standard error divided by the estimate times 100) over 30 percent to indicate potentially serious data quality issues related to sampling error.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
